bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,Par_Group,Name_Ctrl,Type_Ctrl,Value_Ctrl,Gen_Model,Gen_Par,AVR_Model,AVR_Par,GOV_Model,GOV_Par,PSS_Model,PSS_Par,Rate_MVA,Rate_MW,Xdp,Xdpp,X2,Tj,P_rate
752,752,1,1,2,1.0973,-25.265,0.149,0.0231,0.044000000000000004,0.002,0,0,0.045,0.002,0,0.0,0,0,,0,0,3,20,12,34,1,1,2,7,10.0,8.0,0.2,0.1,0.1,5.45,8.8
766,766,1,1,2,1.0975,-14.449000000000002,0.2012,0.0281,0.027000000000000003,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,3,136,12,227,7,33,4,97,6.74,5.4,0.1,0.05,0.05,8.29222,5.4
775,775,1,1,2,1.0943,-15.839,0.23800000000000002,0.0171,0.049,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,3,1034,12,214,7,26,4,93,9.0,9.0,0.2,0.1,0.1,5.632,9.8
798,798,1,1,2,1.1155,-12.024000000000001,0.0613,0.1708,1.2890000000000001,0.2948,0,0,0.6,0.0,0,0.0,0,0,,0,0,3,1733,12,110,7,75,4,51,255.556,250.0,0.2,0.1,0.1,8.62,257.8
801,801,1,1,2,1.0683,-15.144,0.0312,0.006,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
808,808,1,1,2,1.0983,-15.465,0.114,0.0291,0.06,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,3,149,12,248,8,8,2,7,15.294,12.0,0.2,0.1,0.1,5.45,12.0
809,809,1,1,2,1.0986,-15.446,0.1904,0.0281,0.06,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,3,149,12,248,8,8,2,7,15.294,12.0,0.2,0.1,0.1,5.45,12.0
846,846,1,1,2,1.12,-13.232000000000001,0.1306,0.3014,1.3,0.3767,0,0,1.49,-0.33,0,0.0,0,0,,0,0,3,1733,12,110,7,75,4,51,255.556,250.0,0.2,0.1,0.1,8.62,260.0
847,847,1,1,2,1.12,-13.24,0.1306,0.3014,1.8038,0.7649,0,0,1.49,-0.33,0,0.0,0,0,,0,0,3,63,12,106,8,50,4,49,399.9,360.0,0.1,0.05,0.05,15.66,360.76
854,854,1,1,2,1.078,-15.367,0.1931,0.0232,0.025,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,3,117,12,195,7,15,4,89,6.25,5.0,0.2,0.1,0.1,9.12992,5.0
860,860,1,1,2,1.0967,-15.853,0.2582,0.0844,0.12,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,3,8,12,14,7,2,4,8,30.0,24.0,0.2,0.1,0.1,5.91,24.0
870,870,1,1,2,1.1164,-13.796,0.1356,0.3125,2.31,0.6,0,0,0.6,0.0,0,0.0,0,0,,0,0,3,232,12,398,8,123,4,182,472.2,425.0,0.2,0.1,0.1,10.577,462.0
876,876,1,1,2,1.1087,-14.595,0.1723,0.0922,0.21,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,3,108,12,49,7,1,4,38,47.647,40.5,0.2,0.1,0.1,6.37,42.0
890,890,1,1,2,1.1085,-14.505,0.2189,0.0221,0.07,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,3,124,12,204,8,82,4,91,17.5,14.0,0.1,0.05,0.05,18.25984,14.000000000000002
893,893,1,1,2,1.105,-12.012,0.0323,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
908,908,1,1,2,1.1049,-11.047,0.1215,0.0301,0.304,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,3,26,12,41,7,2,2,11,70.59,60.0,0.2,0.1,0.1,4.9126,60.8
913,913,1,1,2,1.0665,-14.979000000000001,0.2098,0.0151,0.02,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,3,120,12,209,7,14,0,0,5.0,3.2,0.1,0.05,0.05,2.04,4.0
918,918,1,1,2,1.0925,-16.172,0.1113,0.0095,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
929,929,1,1,2,1.092,-13.970999999999998,0.1614,0.0251,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
934,934,1,1,2,1.117,-10.019,0.1306,0.3014,1.29,0.2869,0,0,1.05,-0.11,0,0.0,0,0,,0,0,3,1733,12,110,7,75,4,51,255.556,250.0,0.2,0.1,0.1,8.62,258.0
936,936,1,1,2,1.0944,-14.074000000000002,0.001,0.01,0.36,0.1564,0,0,0.3,0.0,0,0.0,0,0,,0,0,3,154,12,257,7,1,2,47,82.25,72.0,0.2,0.1,0.1,5.7,72.0
939,939,1,1,2,1.0995,-14.341,0.0538,0.005,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
959,959,1,1,2,1.1074,-11.932,0.0603,0.1608,1.01,0.256,0,0,0.3,0.0,0,0.0,0,0,,0,0,3,16,12,24,8,9,4,12,222.22,200.0,0.2,0.1,0.1,8.78,202.0
965,965,1,1,2,1.0754,-14.107999999999999,0.1027,0.0153,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
980,980,1,1,2,1.0991,-13.604000000000001,0.0645,0.006,0.12,0.1957,0,0,0.3,0.0,0,0.0,0,0,,0,0,3,8,12,14,7,2,4,8,30.0,24.0,0.2,0.1,0.1,5.91,24.0
