ID,Par_No,SB_LIB,XD,XDP,XDPP,Xq,XqP,XqPP,X2,Ra,TD0P,TD0PP,Tq0P,Tq0PP,TJ,a,b,n,D_Sec,Note
471,471,0.0000,2.080000,0.210000,0.120000,1.960000,0.350000,0.180000,0.170000,0.001038,9.830000,0.022000,0.910000,0.033000,3.850000,1.000000,0.146380,4.237000,0.000000,__#3_4
472,472,0.0000,1.890000,0.210000,0.166000,1.841000,0.345000,0.164000,0.165000,0.000000,8.600000,0.044000,0.956000,0.074000,8.270000,1.000000,0.134000,8.447000,0.000000,____#3
473,473,0.0000,1.800000,0.202000,0.160000,1.750000,0.336000,0.158000,0.159000,0.000000,8.600000,0.044200,0.956000,0.074400,8.270000,1.000000,0.000000,1.000000,0.000000,___#6_7
474,474,0.0000,2.156000,0.264700,0.205000,2.156000,2.156000,0.200900,0.203000,0.000000,8.270000,0.100000,0.000000,0.100000,12.756700,1.000000,0.138400,8.727600,0.000000,__5_6_
475,475,0.0000,2.100000,0.234000,0.185000,2.050000,0.372000,0.182000,0.183000,0.000000,8.600000,0.044000,0.956000,0.072000,9.317050,1.000000,0.078000,13.450000,0.000000,___#1_2
476,476,0.0000,1.910000,0.303000,0.256000,1.870000,1.683000,0.253000,0.240279,0.000000,8.060000,0.042000,0.900000,0.066000,6.538170,0.900000,0.000000,9.000000,0.000000,_
477,477,0.0000,5.346000,0.791600,0.545400,5.346000,0.791600,0.545400,0.627739,0.000000,8.930000,0.049000,1.000000,0.049000,1.770360,0.900000,0.000000,9.000000,0.000000,_
478,478,0.0000,1.950000,0.231000,0.153000,1.900000,0.402000,0.152000,0.183183,0.000000,10.200000,0.043000,1.140000,0.076000,5.403120,0.900000,0.000000,9.000000,0.000000,_
479,479,0.0000,1.920000,0.204700,0.125000,1.900000,0.399000,0.171000,0.162327,0.000000,10.230000,0.020000,1.140000,0.067000,7.379040,0.900000,0.000000,9.000000,0.000000,_
480,480,0.0000,2.002000,0.288500,0.204900,2.002000,0.288500,0.204900,0.228781,0.000000,8.450000,0.054000,0.940000,0.054000,6.013030,0.900000,0.000000,9.000000,0.000000,_
481,481,0.0000,3.404000,0.454800,0.331800,3.313000,0.649000,0.323000,0.360656,0.000000,8.730000,0.046000,1.000000,0.067000,4.070000,0.900000,0.000000,9.000000,0.000000,_
482,482,0.0000,1.997000,0.266100,0.161800,1.943000,0.693000,0.170000,0.211017,0.000000,7.000000,0.030000,1.670000,0.050000,7.353540,0.900000,0.000000,9.000000,0.000000,_
483,483,0.0000,1.590000,0.210000,0.161000,1.550000,0.357000,0.158000,0.166530,0.000000,8.000000,0.044000,0.890000,0.075000,8.315400,0.900000,0.000000,9.000000,0.000000,_
484,484,0.0000,2.070000,0.267000,0.000000,2.043000,0.315000,0.000000,0.211731,0.000000,999.000000,0.000000,0.990000,0.000000,8.220000,0.900000,0.000000,9.000000,0.000000,_
485,485,0.0000,12.790000,1.727000,0.982200,12.650000,3.201000,1.102000,1.369511,0.000000,12.000000,0.048000,1.400000,0.050000,1.125420,0.900000,0.000000,9.000000,0.000000,_
486,486,0.0000,2.210000,0.310000,0.186700,2.210000,0.310000,0.186700,0.245830,0.000000,7.670000,0.048000,0.850000,0.033000,4.483940,0.900000,0.000000,9.000000,0.000000,_
487,487,0.0000,1.855000,0.256800,0.169300,1.855000,0.256800,0.190900,0.203642,0.000000,9.220000,0.051000,1.030000,0.051000,10.081590,0.900000,0.000000,9.000000,0.000000,_
488,488,0.0000,1.814000,0.227000,0.168000,1.814000,0.378000,0.166000,0.180011,0.000000,8.470000,0.045000,0.940000,0.079000,8.534840,0.900000,0.000000,9.000000,0.000000,_
489,489,0.0000,5.100000,0.648800,0.493000,4.958000,1.082000,0.487300,0.514498,0.000000,8.600000,0.044000,1.000000,0.074000,2.097600,0.900000,0.000000,9.000000,0.000000,_
490,490,0.0000,3.233000,0.451500,0.334500,3.150000,0.672000,0.327000,0.358040,0.004000,8.610000,0.045000,1.000000,0.069000,3.784000,0.900000,0.000000,9.000000,0.000000,_
491,491,0.0000,1.884000,0.300000,0.218000,1.601000,0.300000,0.218000,0.237900,0.000000,4.700000,0.039000,4.700000,0.039000,5.743300,0.900000,0.000000,9.000000,0.000000,_
492,492,0.0000,1.877000,0.227500,0.168000,1.861000,1.675000,0.165700,0.180408,0.000000,8.470000,0.045000,0.940000,0.079000,6.607930,0.900000,0.000000,9.000000,0.000000,_
493,493,0.0000,5.100000,0.648800,0.493000,4.958000,1.082000,0.487300,0.514498,0.000000,8.600000,0.044000,1.000000,0.074000,3.583000,0.900000,0.000000,9.000000,0.000000,_
494,494,0.0000,5.100000,0.648800,0.493000,4.958000,1.082000,0.487300,0.514498,0.000000,8.600000,0.044000,1.000000,0.074000,4.430000,0.900000,0.000000,9.000000,0.000000,_
