ID,Par_No,xc_modul,tr_measure,k_dcplus,kv_integ,t1_series,t2_series,t3_series,t4_series,ka_amplify,ta_amplify,vamax,vamin,kf_paral,tf_paral,vrmax,vrmin,kc_load,Vs_POS,R_MODEL,vmax1,vmin1,vmax2,vmin2,lelocation,lemodel,leparno,oelocation,oemodel,oeparno,oilocation,oimodel,oiparno,Note
97,97,0,0.02,3,0,16.67,1,1,1,1,0.01,10,-10,0,1,6.42,-6.32,0.082,1,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#31
98,98,0.04,0.02,280,1,0.1,0.1,1,7.01,1,0.02,10,-10,0,1,11.95,-10.02,0.0956,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,_____
99,99,0.04,0.02,280,1,0.1,0.1,1,7.01,1,0.02,10,-10,0,1,12.28,-10.12,0.096,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,_____
100,100,0,0.02,4.6,0,10,1,0.02,0.02,1,0.02,20,-20,0,1,6.2,-4.8,0.081,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___
101,101,0.05,0.02,200,1,1,1,1,4,1,0.02,20,-20,0,1,5.9,-4.7,0.05,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,12,0,0,0,0,0,0,_____
102,102,-0.06,0.02,240,1,1,5,0.2,0.2,1,0.02,20,-20,0,1,4.9,-4.1,0.067,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,13,0,0,0,0,0,0,_____
103,103,-0.02,0.02,366,1,0.1,0.1,1,6.86,1,0.02,10,-10,0,1,5.71,-5.45,0.043,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,
104,104,-0.02,0.02,366.6,1,0.1,0.1,1,6.86,1,0.02,10,-10,0,1,5.75,-5.53,0.043,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,
105,105,-0.02,0.02,366.6,1,0.1,0.1,1,6.86,1,0.02,10,-10,0,1,5.85,-5.4,0.043,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,
106,106,0,0.02,130,1,7.92,30,1,1,1,0.01,10,-10,0,1,5.1,-4.3,0.068,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#1
107,107,0,0.02,130,1,7.92,30,1,1,1,0.01,10,-10,0,1,4.89,-3.87,0.068,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#2
108,108,0,0.02,130,1,7.92,30,1,1,1,0.01,10,-10,0,1,4.6,-3.5,0.068,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#3
109,109,0,0.02,130,1,7.92,30,1,1,1,0.01,10,-10,0,1,5.02,-4.19,0.068,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#4
110,110,-0.03,0.02,45,0,4,4,0.1,0.1,1,0.01,7.42,-5.74,0,1,6.02,-5.11,0.0718,0,0,1000000,-1000000,0,0,0,0,0,0,0,0,0,0,0,0
111,111,-0.03,0.02,45,0,4,4,0.1,0.1,1,0.01,7.42,-5.74,0,1,5.93,-5.31,0.0718,0,0,1000000,-1000000,0,0,0,0,0,0,0,0,0,0,0,0
112,112,-0.03,0.02,45,0,4,4,0.1,0.1,1,0.01,7.42,-5.74,0,1,5.65,-4.87,0.07,0,0,1000000,-1000000,0,0,0,0,0,0,0,0,0,0,0,0
113,113,-0.03,0.02,45,0,4,4,0.1,0.1,1,0.01,7.42,-5.74,0,1,5.43,-4.66,0.07,0,0,1000000,-1000000,0,0,0,0,0,0,0,0,0,0,0,0
114,114,0.05,0.02,300,1,1,1,1,6.56,1,0.02,20,-20,0,1,4.7,-3.9,0.072,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,14,0,0,0,0,0,0,_____
115,115,0,0.02,191.548996,1,1,1,1,5.52,1,0.02,10,-10,0,1,4.821,-4.121,0.066,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,_____
116,116,0.05,0.02,170,1,2,10,0.2,0.2,1,0.02,20,-20,0,1,4.7,-3.8,0.055,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,15,0,0,0,0,0,0,_____
117,117,0,0.02,220,1,1,6,0.2,0.2,1,0.02,20,-20,0,1,4.4,-4.1,0.035,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,16,0,0,0,0,0,0,_____
118,118,0.05,0.02,220,1,1,6,0.2,0.2,1,0.02,20,-20,0,1,4.4,-4.1,0.035,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,16,0,0,0,0,0,0,_____
119,119,0,0.02,200,1,1,1,1,4,1,0.02,20,-20,0,1,5.7,-3.7,0.039,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___
120,120,0.03,0.02,10,0,5,1,0.1,0.1,0.8,0.01,10,-10,0,1,4.89,-3.66,0.0464,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,_____
121,121,0.03,0.02,10,0,5,1,0.1,0.1,0.8,0.01,10,-10,0,1,5.09,-3.83,0.0462,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,12__#2
