ID,Par_No,SB_LIB,XD,XDP,XDPP,Xq,XqP,XqPP,X2,Ra,TD0P,TD0PP,Tq0P,Tq0PP,TJ,a,b,n,D_Sec,Note
462,462,0,2.1,0.234,0.185,2.05,0.372,0.182,0.159,0,8.6,0.044,0.956,0.072,8.03,1,0,1,0,___#6_7
463,463,0,2.21,0.23,0.14,2.044,0.349,0.149,0.15,0,9.34,0.022,1.163,0.044,6.23,1,0,1,0,___4_5
464,464,0,1.8,0.202,0.16,1.75,0.336,0.158,0.159,0,8.6,0.0442,0.956,0.0744,6.77,1,0,1,0,___#6_7
465,465,0,2.1714,0.2335,0.1802,2.1158,0.3702,0.1778,0.179,0,8.47,0.045,0.94,0.075,7.5,1,0.077,8.105,0,_____1_2_
466,466,0,1.867,0.257,0.18,1.818,0.413,0.222,0.22,0,6.9,0.039,0.767,0.055,7.24833,1,0,1,0,__1_2_
467,467,0,1.53,0.146,0.214,1.48,0.28,0.226,0.1308,0,7.5,0.054,0.83,0.103,2.99,1,0.193,8.853,0,
468,468,0,1.896,0.2489,0.1915,1.896,1.896,0.1915,0.2154,0,6.9,0.119,0,0.119,5.70265,1,0,1,0,__1_2_
469,469,0,1.896,0.2489,0.1915,1.896,1.896,0.1915,0.2154,0,6.9,0.119,0,0.119,5.972,1,0,1,0,__1_2_
470,470,0,2.08,0.21,0.12,1.96,0.35,0.18,0.17,0.001046,9.83,0.022,0.91,0.033,5.49,1,0.14638,4.237,0,__#3_4
471,471,0,2.08,0.21,0.12,1.96,0.35,0.18,0.17,0.001038,9.83,0.022,0.91,0.033,3.85,1,0.14638,4.237,0,__#3_4
472,472,0,1.89,0.21,0.166,1.841,0.345,0.164,0.165,0,8.6,0.044,0.956,0.074,8.27,1,0.134,8.447,0,____#3
473,473,0,1.8,0.202,0.16,1.75,0.336,0.158,0.159,0,8.6,0.0442,0.956,0.0744,8.27,1,0,1,0,___#6_7
474,474,0,2.156,0.2647,0.205,2.156,2.156,0.2009,0.203,0,8.27,0.1,0,0.1,12.7567,1,0.1384,8.7276,0,__5_6_
475,475,0,2.1,0.234,0.185,2.05,0.372,0.182,0.183,0,8.6,0.044,0.956,0.072,9.31705,1,0.078,13.45,0,___#1_2
476,476,0,1.91,0.303,0.256,1.87,1.683,0.253,0.240279,0,8.06,0.042,0.9,0.066,6.53817,0.9,0,9,0,_
477,477,0,5.346,0.7916,0.5454,5.346,0.7916,0.5454,0.627739,0,8.93,0.049,1,0.049,1.77036,0.9,0,9,0,_
478,478,0,1.95,0.231,0.153,1.9,0.402,0.152,0.183183,0,10.2,0.043,1.14,0.076,5.40312,0.9,0,9,0,_
479,479,0,1.92,0.2047,0.125,1.9,0.399,0.171,0.162327,0,10.23,0.02,1.14,0.067,7.37904,0.9,0,9,0,_
480,480,0,2.002,0.2885,0.2049,2.002,0.2885,0.2049,0.228781,0,8.45,0.054,0.94,0.054,6.01303,0.9,0,9,0,_
481,481,0,3.404,0.4548,0.3318,3.313,0.649,0.323,0.360656,0,8.73,0.046,1,0.067,4.07,0.9,0,9,0,_
482,482,0,1.997,0.2661,0.1618,1.943,0.693,0.17,0.211017,0,7,0.03,1.67,0.05,7.35354,0.9,0,9,0,_
483,483,0,1.59,0.21,0.161,1.55,0.357,0.158,0.16653,0,8,0.044,0.89,0.075,8.3154,0.9,0,9,0,_
484,484,0,2.07,0.267,0,2.043,0.315,0,0.211731,0,999,0,0.99,0,8.22,0.9,0,9,0,_
485,485,0,12.79,1.727,0.9822,12.65,3.201,1.102,1.369511,0,12,0.048,1.4,0.05,1.12542,0.9,0,9,0,_
486,486,0,2.21,0.31,0.1867,2.21,0.31,0.1867,0.24583,0,7.67,0.048,0.85,0.033,4.48394,0.9,0,9,0,_
487,487,0,1.855,0.2568,0.1693,1.855,0.2568,0.1909,0.203642,0,9.22,0.051,1.03,0.051,10.08159,0.9,0,9,0,_
488,488,0,1.814,0.227,0.168,1.814,0.378,0.166,0.180011,0,8.47,0.045,0.94,0.079,8.53484,0.9,0,9,0,_
489,489,0,5.1,0.6488,0.493,4.958,1.082,0.4873,0.514498,0,8.6,0.044,1,0.074,2.0976,0.9,0,9,0,_
490,490,0,3.233,0.4515,0.3345,3.15,0.672,0.327,0.35804,0.004,8.61,0.045,1,0.069,3.784,0.9,0,9,0,_
491,491,0,1.884,0.3,0.218,1.601,0.3,0.218,0.2379,0,4.7,0.039,4.7,0.039,5.7433,0.9,0,9,0,_
492,492,0,1.877,0.2275,0.168,1.861,1.675,0.1657,0.180408,0,8.47,0.045,0.94,0.079,6.60793,0.9,0,9,0,_
493,493,0,5.1,0.6488,0.493,4.958,1.082,0.4873,0.514498,0,8.6,0.044,1,0.074,3.583,0.9,0,9,0,_
494,494,0,5.1,0.6488,0.493,4.958,1.082,0.4873,0.514498,0,8.6,0.044,1,0.074,4.43,0.9,0,9,0,_
495,495,0,5.1,0.6488,0.493,4.958,1.082,0.4873,0.514498,0,8.6,0.044,1,0.077,3.583,0.9,0,9,0,_
496,496,0,5.1,0.6488,0.493,4.958,1.082,0.4873,0.514498,0,8.6,0.044,1,0.077,4.43,0.9,0,9,0,_
497,497,0,12.62,1.731,1.171,10.18,2.932,0.85,1.372683,0,7.5,0.03,1.7,0.05,0.95366,0.9,0,9,0,_
498,498,0,8.809,1.055,0.6414,7.727,2.226,0.6452,0.836615,0,7.5,0.03,1.7,0.05,1.63498,0.9,0,9,0,_
499,499,0,15.35,2.431,0,17,4.896,0,1.927783,0,999,0,1.7,0,1.1847,0.9,0,9,0,_
500,500,0,5.126,0.8157,0.6869,5.025,1.258,0.6742,0.64685,0,8.06,0.042,0.9,0.065,3.888,0.9,0,9,0,_
501,501,0,5.134,0.8145,0.6882,5.027,1.277,0.6774,0.645899,0,8.06,0.042,0.9,0.066,4.17,0.9,0,9,0,_
502,502,0,10.01,0.9256,0.7131,9.633,1.828,0.7036,0.734001,0,11.5,0.043,1.3,0.087,2.209,0.9,0,9,0,_
503,503,0,19.129999,1.947,1.505,18.360001,3.672,1.496,1.543971,0,10.5,0.043,1.2,0.082,1.213,0.9,0,9,0,_
504,504,0,3.963,0.6162,0.5166,3.88,0.9813,0.5083,0.488647,0,8.6,0.042,1,0.068,6.0196,0.9,0,9,0,_
505,505,0,57.849998,5.728,3.4,57.849998,5.728,3.4,4.542304,0,11.9,0.03,1.7,0.05,0.16,0.9,0,9,0,_
506,506,0,16.709999,4.14,0,9.623,8.695,0,3.28302,0,999,0,0,0,0.599,0.9,0,9,0,_
507,507,0,5.061,0.6507,0.5157,5.712,1.67,0.4025,0.516005,0,7.5,0.03,1.7,0.05,3.1092,0.9,0,9,0,_
508,508,0,5.255,0.7276,0.4797,5.255,0.7276,0.4797,0.576987,0,9.22,0.051,1,0.051,2.5422,0.9,0,9,0,_
509,509,0,5.255,0.7276,0.4797,5.255,0.7276,0.4797,0.576987,0,9.22,0.051,1,0.051,2.2892,0.9,0,9,0,_
510,510,0,5.783,1.418,1.13,4.023,0,1.13,0.9217,0,12.6,0.04,0,0.06,1.756,0.9,0,9,0,_
511,511,0,6.919,0.9132,0.72,6.638,1.651,0.72,0.724168,0,6.3,0.044,0.6,0.089,3.405,0.9,0,9,0,_
512,512,0,5.202,0.6446,0.476,5.072,1.071,0.4703,0.511168,0,8.47,0.045,0.9,0.079,3.44,0.9,0,9,0,_
513,513,0,19.129999,1.947,1.573,18.360001,3.672,1.573,1.543971,0,10.5,0.04,1.2,0.04,1.213,0.9,0,9,0,_
514,514,0,5.445,0.5498,0.4197,5.392,0.9934,0.4197,0.435991,0,14.8,0.044,1.9,0.079,4.414,0.9,0,9,0,_
515,515,0,5.445,0.5498,0.4197,5.392,0.9934,0.4197,0.435991,0,14.8,0.044,1.9,0.079,4.681,0.9,0,9,0,_
516,516,0,12.9,1.961,1.598,12.76,2.788,1.337,1.555073,0,11.9,0.041,1.3,0.073,2.482,0.9,0,9,0,_
517,517,0,12.97,1.7,1.113,12.97,3.627,1.052,1.3481,0,10,0.16,1,0.05,1.26472,0.9,0,9,0,_
518,518,0,1.73,0.254,0.203,1.69,0.421,0.211,0.201422,0.001842,5.21,0.019,0.6,0.03,5.7467,0.9,0,9,0,_
519,519,0,2.49624,0.33352,0.24333,2.42985,0.47591,0.23684,0.22087,0,8.728,0.046,0.97,0.067,6.766,0.9,0,9,0,______20170405
520,520,0,3.404,0.4553,0.3323,3.314,0.6681,0.3235,0.361053,0,8.72,0.045,1,0.069,3.9914,0.9,0,9,0,_
521,521,0,1.8,0.229,0.174,1.75,0.382,0.172,0.181597,0,8.6,0.044,0.96,0.074,7.5898,0.9,0,9,0,_
