ID,Par_No,xc_modul,tr_measure,k_dcplus,kv_integ,t1_series,t2_series,t3_series,t4_series,ka_amplify,ta_amplify,vamax,vamin,kf_paral,tf_paral,vrmax,vrmin,kc_load,Vs_POS,R_MODEL,vmax1,vmin1,vmax2,vmin2,lelocation,lemodel,leparno,oelocation,oemodel,oeparno,oilocation,oimodel,oiparno,Note
61,61,0.045000,0.020000,8.300000,0.000000,3.500000,1.000000,0.100000,0.100000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,5.180000,-3.450000,0.059000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,_____
62,62,-0.030000,0.020000,47.279999,0.000000,1.500000,1.000000,0.010000,0.010000,1.000000,0.010000,5.910000,-5.240000,0.000000,1.000000,4.849100,-4.666100,0.101320,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#5
63,63,-0.030000,0.020000,45.903999,0.000000,1.500000,1.000000,0.100000,0.100000,1.000000,0.010000,5.738000,-5.087000,0.000000,1.000000,4.415000,-4.556000,0.101000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#6
64,64,-0.030000,0.020000,37.529999,0.000000,1.500000,1.000000,0.010000,0.010000,1.000000,0.010000,5.629000,-4.991000,0.000000,1.000000,4.786000,-4.227000,0.101000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#7
65,65,-0.030000,0.020000,45.840000,0.000000,1.500000,1.000000,0.010000,0.010000,1.000000,0.010000,5.734000,-5.084000,0.000000,1.000000,5.317000,-4.659000,0.101000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#8
66,66,-0.030000,0.020000,52.990002,0.000000,1.500000,1.000000,0.100000,0.100000,1.000000,0.010000,6.629000,-5.878000,0.000000,1.000000,5.823000,-4.950000,0.102000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#1
67,67,-0.030000,0.020000,51.750000,0.000000,1.500000,1.000000,0.100000,0.100000,1.000000,0.010000,6.468800,-5.735900,0.000000,1.000000,6.075000,-5.343000,0.102200,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#2
68,68,-0.030000,0.020000,55.220001,0.000000,1.500000,1.000000,0.100000,0.100000,1.000000,0.010000,6.902000,-6.120000,0.000000,1.000000,6.180000,-5.460000,0.102000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#3
69,69,-0.030000,0.020000,51.750000,0.000000,1.500000,1.000000,0.100000,0.100000,1.000000,0.010000,6.468800,-5.735900,0.000000,1.000000,5.203000,-4.706000,0.101600,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,24_25___
70,70,0.000000,0.020000,48.000000,1.000000,1.000000,1.000000,1.000000,4.000000,4.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.820000,-4.200000,0.040000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,_____
71,71,0.000000,0.010000,22.000000,1.000000,1.000000,4.000000,0.010000,0.010000,6.660000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.220000,-4.370000,0.040000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,12___#1
72,72,0.060000,0.010000,22.000000,1.000000,1.000000,4.000000,0.010000,0.010000,6.630000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.350000,-4.480000,0.040000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,12___#2
73,73,0.060000,0.010000,22.000000,1.000000,1.000000,4.000000,0.010000,0.010000,6.630000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.160000,-4.440000,0.040000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,12___#3
74,74,0.060000,0.010000,22.000000,1.000000,1.000000,4.000000,0.010000,0.010000,6.630000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.210000,-4.360000,0.040000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,12___#4
75,75,0.000000,0.020000,200.000000,1.000000,1.000000,1.000000,1.000000,4.000000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,5.970000,-4.100000,0.064000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____#1
76,76,0.000000,0.020000,350.000000,1.000000,1.000000,2.000000,0.100000,0.100000,1.000000,0.010000,10.000000,-8.500000,0.000000,1.000000,6.030000,-5.250000,0.079400,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,__#2
77,77,0.000000,0.020000,350.000000,1.000000,1.000000,2.000000,0.100000,0.100000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,6.290000,-5.660000,0.079600,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#3
78,78,0.000000,0.020000,350.000000,1.000000,1.000000,2.000000,0.100000,0.100000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,6.470000,-5.910000,0.079600,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#4_
79,79,0.000000,0.020000,350.000000,1.000000,1.000000,2.000000,0.100000,0.100000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.950000,-5.500000,0.079600,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,__#1
80,80,-0.030000,0.020000,350.000000,1.000000,1.000000,2.000000,0.100000,0.100000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,6.080000,-5.440000,0.079600,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,__#1
81,81,0.000000,0.020000,350.000000,1.000000,1.000000,2.000000,0.100000,0.100000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.980000,-5.500000,0.079600,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____#7
82,82,0.000000,0.020000,350.000000,1.000000,1.000000,2.000000,0.100000,0.100000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,6.250000,-5.510000,0.079600,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,__#1
83,83,-0.030000,0.010000,375.000000,1.000000,1.000000,2.140000,0.100000,0.100000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.965000,-5.567000,0.078900,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____#1
84,84,-0.030000,0.010000,375.000000,1.000000,1.000000,2.140000,0.100000,0.100000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,6.175000,-5.488000,0.078900,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____#2
85,85,-0.030000,0.010000,350.000000,1.000000,1.000000,2.140000,0.100000,0.100000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.700000,-5.140000,0.078800,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____#3
86,86,-0.030000,0.010000,375.000000,1.000000,1.000000,2.140000,0.100000,0.100000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,6.120000,-5.470000,0.078900,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#4_
87,87,-0.050000,0.010000,375.000000,1.000000,1.000000,2.140000,0.100000,0.100000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,6.080000,-5.010000,0.078900,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____#5
88,88,-0.050000,0.010000,375.000000,1.000000,1.000000,2.140000,0.100000,0.100000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,6.030000,-5.410000,0.078900,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____#6
89,89,-0.060000,0.020000,20.000000,0.000000,3.000000,1.000000,1.000000,1.000000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,5.300000,-4.300000,0.046000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,8,0,0,0,0,0,0,_____
90,90,0.080000,0.020000,380.000000,1.000000,1.000000,1.000000,1.000000,6.860000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,5.500000,-4.800000,0.040000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,9,0,0,0,0,0,0,____
91,91,0.050000,0.020000,20.000000,0.000000,2.000000,1.000000,0.020000,0.080000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,5.700000,-4.700000,0.043000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,_____
92,92,0.050000,0.020000,30.000000,0.000000,5.000000,5.000000,0.100000,0.100000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,4.160000,-3.480000,0.041100,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,DC-HYD_
