transformer_id,middle_point,CN_transformer,taid
260,-341,19386,3412
261,-341,19398,3413
262,-342,19402,3421
263,-342,19387,3422
264,-342,19399,3423
265,-343,8642,3431
266,-343,20981,3432
267,-343,20982,3433
268,-344,19337,3441
269,-344,19324,3442
270,-344,19333,3443
271,-345,19336,3451
272,-345,19325,3452
273,-345,19334,3453
274,-346,8717,3461
275,-346,21037,3462
276,-346,21038,3463
277,-353,21122,3531
278,-353,21121,3532
279,-353,21245,3533
280,-355,18355,3551
281,-355,21171,3552
282,-355,21169,3553
283,-356,21174,3561
284,-356,21179,3562
285,-356,21180,3563
286,-362,21265,3621
287,-362,21289,3622
288,-362,21285,3623
289,-363,41393,3631
290,-363,41395,3632
291,-363,41394,3633
292,-364,21258,3641
293,-364,21290,3642
294,-364,21287,3643
295,-365,21313,3651
296,-365,21315,3652
297,-365,846,3653
298,-371,21376,3711
299,-371,21389,3712
300,-371,21391,3713
301,-372,21377,3721
302,-372,21390,3722
303,-372,21392,3723
304,-379,21439,3791
305,-379,21440,3792
306,-379,21441,3793
307,-380,18210,3801
308,-380,26919,3802
309,-380,26920,3803
310,-381,18486,3811
311,-381,26903,3812
312,-381,26901,3813
313,-382,18487,3821
314,-382,26904,3822
315,-382,26902,3823
316,-383,18476,3831
317,-383,26907,3832
318,-383,26909,3833
319,-384,18477,3841
320,-384,26908,3842
321,-384,26910,3843
322,-385,17859,3851
323,-385,26906,3852
324,-385,26905,3853
325,-386,17783,3861
326,-386,26921,3862
327,-386,26922,3863
328,-387,17782,3871
329,-387,26923,3872
330,-387,26924,3873
331,-388,17799,3881
332,-388,26931,3882
333,-388,26932,3883
334,-389,17798,3891
335,-389,26930,3892
336,-389,26929,3893
337,-390,17570,3901
338,-390,26928,3902
339,-390,26927,3903
340,-391,18616,3911
341,-391,26915,3912
342,-391,26917,3913
343,-392,18617,3921
344,-392,26916,3922
345,-392,26918,3923
346,-393,19106,3931
347,-393,26933,3932
348,-393,26934,3933
349,-394,19107,3941
350,-394,26935,3942
351,-394,26936,3943
352,-395,18694,3951
353,-395,26937,3952
354,-395,26939,3953
355,-396,18695,3961
356,-396,26938,3962
357,-396,26940,3963
358,-397,18657,3971
359,-397,26911,3972
360,-397,26913,3973
361,-398,18658,3981
362,-398,26912,3982
363,-398,26914,3983
364,-399,18600,3991
365,-399,26941,3992
366,-399,26942,3993
367,-400,18601,4001
368,-400,26943,4002
369,-400,26944,4003
370,-401,18339,4011
371,-401,26949,4012
372,-401,26950,4013
373,-402,18340,4021
374,-402,26951,4022
375,-402,26952,4023
376,-403,17573,4031
377,-403,26947,4032
378,-403,26946,4033
379,-404,17574,4041
380,-404,26948,4042
381,-404,26945,4043
382,-405,17980,4051
383,-405,26955,4052
384,-405,26956,4053
385,-406,18954,4061
386,-406,26957,4062
387,-406,26958,4063
388,-407,18377,4071
389,-407,26959,4072
390,-407,26960,4073
391,-408,17684,4081
392,-408,26953,4082
393,-408,26961,4083
394,-409,17685,4091
395,-409,26954,4092
396,-409,26962,4093
397,-410,19080,4101
398,-410,26969,4102
399,-410,26968,4103
400,-411,19084,4111
401,-411,26970,4112
402,-411,26967,4113
403,-412,18383,4121
404,-412,26971,4122
405,-412,26972,4123
406,-413,18781,4131
407,-413,26973,4132
408,-413,26974,4133
409,-414,18636,4141
410,-414,26988,4142
411,-414,26987,4143
412,-415,19498,4151
413,-415,26986,4152
414,-415,26985,4153
415,-416,19499,4161
416,-416,26984,4162
417,-416,26983,4163
418,-417,17922,4171
419,-417,26982,4172
420,-417,26981,4173
421,-418,17923,4181
422,-418,26980,4182
423,-418,26979,4183
424,-419,19183,4191
425,-419,26994,4192
426,-419,26993,4193
427,-420,19184,4201
428,-420,26996,4202
429,-420,26995,4203
