id,name,volt,point,I_nd,J_nd,I_node,J_node
序号,刀闸名,电压等级,遥信状态,I端物理节点,J端物理节点,I端所在拓扑节点,J端所在拓扑节点
6092,四川.大方/220kV.2652刀闸,220,0,7353,122,四川.大方.220.592,四川.大方.220.592
6093,四川.大方/220kV.2653刀闸,220,1,19150,7352,四川.大方.220.592,四川.大方.220.592
6094,四川.大方/220kV.2655刀闸,220,0,123,19150,四川.大方.220.nd123,四川.大方.220.592
6095,四川.东郊/220kV.2011刀闸,220,1,623,7354,四川.东郊.220.4216,四川.东郊.220.4216
6096,四川.东郊/220kV.2012刀闸,220,0,622,7354,四川.东郊.220.4216,四川.东郊.220.4216
6097,四川.东郊/220kV.2016刀闸,220,1,7355,19151,四川.东郊.220.4216,四川.东郊.220.4216
6098,四川.东郊/220kV.2021刀闸,220,1,623,7356,四川.东郊.220.4216,四川.东郊.220.4216
6099,四川.东郊/220kV.2022刀闸,220,0,622,7356,四川.东郊.220.4216,四川.东郊.220.4216
6100,四川.东郊/220kV.2026刀闸,220,1,7357,19152,四川.东郊.220.4216,四川.东郊.220.4216
6101,四川.东郊/220kV.2121刀闸,220,1,623,7359,四川.东郊.220.4216,四川.东郊.220.4216
6102,四川.东郊/220kV.2122刀闸,220,1,622,7358,四川.东郊.220.4216,四川.东郊.220.4216
6103,四川.东郊/220kV.2631刀闸,220,1,7361,623,四川.东郊.220.4216,四川.东郊.220.4216
6104,四川.东郊/220kV.2632刀闸,220,0,7361,622,四川.东郊.220.4216,四川.东郊.220.4216
6105,四川.东郊/220kV.2636刀闸,220,1,19153,7360,四川.东郊.220.nd19153,四川.东郊.220.nd7360
6106,四川.东郊/220kV.2641刀闸,220,0,7363,623,四川.东郊.220.4216,四川.东郊.220.4216
6107,四川.东郊/220kV.2642刀闸,220,1,7363,622,四川.东郊.220.4216,四川.东郊.220.4216
6108,四川.东郊/220kV.2646刀闸,220,1,19154,7362,四川.东郊.220.4216,四川.东郊.220.4216
6109,四川.董家湾/220kV.2021刀闸,220,0,124,7364,四川.董家湾.220.823,四川.董家湾.220.823
6110,四川.董家湾/220kV.2022刀闸,220,1,507,7364,四川.董家湾.220.823,四川.董家湾.220.823
6111,四川.董家湾/220kV.2026刀闸,220,1,7365,19155,四川.董家湾.220.823,四川.董家湾.220.823
6112,四川.发展/220kV.2671刀闸,220,1,7367,144,四川.发展.220.897,四川.发展.220.897
6113,四川.发展/220kV.2672刀闸,220,0,7367,145,四川.发展.220.897,四川.发展.220.897
6114,四川.发展/220kV.2676刀闸,220,1,19156,7366,四川.发展.220.897,四川.发展.220.897
6115,四川.发展/220kV.2681刀闸,220,0,7369,144,四川.发展.220.897,四川.发展.220.897
6116,四川.发展/220kV.2682刀闸,220,1,7369,145,四川.发展.220.897,四川.发展.220.897
6117,四川.发展/220kV.2686刀闸,220,1,19157,7368,四川.发展.220.897,四川.发展.220.897
6118,四川.冯冲湾/220kV.2011刀闸,220,1,625,7370,四川.冯冲湾.220.4226,四川.冯冲湾.220.4226
6119,四川.冯冲湾/220kV.2012刀闸,220,0,624,7370,四川.冯冲湾.220.4226,四川.冯冲湾.220.4226
6120,四川.冯冲湾/220kV.2016刀闸,220,1,7371,19158,四川.冯冲湾.220.4226,四川.冯冲湾.220.4226
6121,四川.冯冲湾/220kV.2021刀闸,220,0,625,7372,四川.冯冲湾.220.4226,四川.冯冲湾.220.4226
6122,四川.冯冲湾/220kV.2022刀闸,220,1,624,7372,四川.冯冲湾.220.4226,四川.冯冲湾.220.4226
6123,四川.冯冲湾/220kV.2026刀闸,220,1,7373,19159,四川.冯冲湾.220.4226,四川.冯冲湾.220.4226
6124,四川.德胜/220kV.2022刀闸,220,0,599,7042,四川.德胜.220.4703,四川.德胜.220.nd7042
6125,四川.德胜/220kV.2026刀闸,220,0,7043,19160,四川.德胜.220.nd7043,四川.德胜.220.nd19160
6126,四川.德胜/220kV.2121刀闸,220,1,600,7045,四川.德胜.220.4703,四川.德胜.220.4703
6127,四川.德胜/220kV.2122刀闸,220,1,599,7044,四川.德胜.220.4703,四川.德胜.220.4703
6128,四川.德胜/220kV.2611刀闸,220,1,7047,600,四川.德胜.220.4703,四川.德胜.220.4703
6129,四川.通川/220kV.2021刀闸,220,0,598,6687,四川.通川.220.4094,四川.通川.220.4094
6130,四川.通川/220kV.2022刀闸,220,1,597,6687,四川.通川.220.4094,四川.通川.220.4094
