id,name,volt,point,I_nd,J_nd,I_node,J_node
序号,断路器名,电压等级,遥信状态,I端物理节点,J端物理节点,I端所在拓扑节点,J端所在拓扑节点
2563,四川.岩神山/220kV.201开关,220,1,6919,6920,四川.岩神山.220.4133,四川.岩神山.220.4133
2564,四川.岩神山/220kV.202开关,220,1,6921,6922,四川.岩神山.220.4133,四川.岩神山.220.4133
2565,四川.岩神山/220kV.212开关,220,1,6923,6924,四川.岩神山.220.4133,四川.岩神山.220.4133
2566,四川.岩神山/220kV.261开关,220,1,6925,6926,四川.岩神山.220.4133,四川.岩神山.220.4133
2567,四川.岩神山/220kV.262开关,220,1,6927,6928,四川.岩神山.220.4133,四川.岩神山.220.4133
2568,四川.岩神山/220kV.267开关,220,1,6929,6930,四川.岩神山.220.4133,四川.岩神山.220.4133
2569,四川.岩神山/220kV.268开关,220,1,6931,6932,四川.岩神山.220.4133,四川.岩神山.220.4133
2570,四川.范家湾/220kV.201开关,220,1,6933,6934,四川.范家湾.220.4140,四川.范家湾.220.4140
2571,四川.范家湾/220kV.202开关,220,1,6935,6936,四川.范家湾.220.4140,四川.范家湾.220.4140
2572,四川.范家湾/220kV.212开关,220,1,6937,6938,四川.范家湾.220.4140,四川.范家湾.220.4140
2573,四川.范家湾/220kV.261开关,220,1,6939,6940,四川.范家湾.220.4140,四川.范家湾.220.4140
2574,四川.范家湾/220kV.262开关,220,1,6941,6942,四川.范家湾.220.4140,四川.范家湾.220.4140
2575,四川.康定/220kV.201开关,220,1,6943,6944,四川.康定.220.4158,四川.康定.220.4158
2576,四川.康定/220kV.212开关,220,1,6945,6946,四川.康定.220.4158,四川.康定.220.4158
2577,四川.康定/35kV.301开关,35,1,6947,651,四川.康定.35.4160,四川.康定.35.4160
2578,四川.康定/35kV.311开关,35,0,6948,6949,四川.康定.35.nd6948,四川.康定.35.4160
2579,四川.康定/35kV.312开关,35,0,6950,6951,四川.康定.35.nd6950,四川.康定.35.4160
2580,四川.康定/35kV.313开关,35,1,6952,6953,四川.康定.35.4160,四川.康定.35.4160
2581,四川.康定/35kV.314开关,35,0,6954,6955,四川.康定.35.nd6954,四川.康定.35.4160
2582,四川.康定/500kV.5011开关,500,1,6956,6957,四川.康定.500.4147,四川.康定.500.4147
2583,四川.康定/500kV.5012开关,500,1,6958,6959,四川.康定.500.4147,四川.康定.500.4147
2584,四川.康定/500kV.5013开关,500,1,6960,6961,四川.康定.500.4147,四川.康定.500.4147
2585,四川.康定/500kV.5021开关,500,1,6962,6963,四川.康定.500.4147,四川.康定.500.4147
2586,四川.康定/500kV.5022开关,500,1,6964,6965,四川.康定.500.4147,四川.康定.500.4147
2587,四川.康定/500kV.5023开关,500,1,6966,6967,四川.康定.500.4147,四川.康定.500.4147
2588,四川.康定/500kV.5031开关,500,1,6968,6969,四川.康定.500.4147,四川.康定.500.4147
2589,四川.康定/500kV.5032开关,500,1,6970,6971,四川.康定.500.4147,四川.康定.500.4147
2590,四川.康定/500kV.5033开关,500,1,6972,6973,四川.康定.500.4147,四川.康定.500.4147
2591,四川.资阳/500kV.5021开关,500,1,6974,6975,西南.资阳站.500.4744,西南.资阳站.500.4744
2592,西南.资阳站/500kV.5022开关,500,0,6976,6977,西南.资阳站.500.nd6976,西南.资阳站.500.nd6977
2593,西南.资阳站/500kV.5023开关,500,1,6978,6979,西南.资阳站.500.4744,西南.资阳站.500.4744
2594,四川.资阳/500kV.5031开关,500,1,6980,6981,西南.资阳站.500.4744,西南.资阳站.500.4744
2595,西南.资阳站/500kV.5032开关,500,1,6982,6983,西南.资阳站.500.4744,西南.资阳站.500.4744
2596,西南.资阳站/500kV.5033开关,500,1,6984,6985,西南.资阳站.500.4744,西南.资阳站.500.4744
2597,四川.资阳/500kV.5041开关,500,1,6986,6987,西南.资阳站.500.4744,西南.资阳站.500.4744
2598,四川.资阳/500kV.5042开关,500,1,6988,6989,西南.资阳站.500.4744,西南.资阳站.500.4744
2599,四川.资阳/500kV.5043开关,500,1,6990,6991,西南.资阳站.500.4744,西南.资阳站.500.4744
2600,四川.资阳/500kV.5051开关,500,1,6992,6993,西南.资阳站.500.4744,西南.资阳站.500.4744
2601,四川.资阳/500kV.5052开关,500,1,6994,6995,西南.资阳站.500.4744,西南.资阳站.500.4744
2602,四川.资阳/500kV.5053开关,500,1,6996,6997,西南.资阳站.500.4744,西南.资阳站.500.4744
2603,四川.资阳/500kV.5061开关,500,1,6998,6999,西南.资阳站.500.4744,西南.资阳站.500.4744
2604,四川.资阳/500kV.5062开关,500,1,7000,7001,西南.资阳站.500.4744,西南.资阳站.500.4744
2605,四川.资阳/500kV.5063开关,500,1,7002,7003,西南.资阳站.500.4744,西南.资阳站.500.4744
2606,四川.资阳/500kV.5071开关,500,1,7004,7005,西南.资阳站.500.4744,西南.资阳站.500.4744
2607,四川.资阳/500kV.5072开关,500,1,7006,7007,西南.资阳站.500.4744,西南.资阳站.500.4744
2608,四川.资阳/500kV.5073开关,500,1,7008,7009,西南.资阳站.500.4744,西南.资阳站.500.4744
2609,四川.桃坪厂/220kV.201开关,220,1,7010,7011,四川.桃坪厂.220.4898,四川.桃坪厂.220.4898
2610,四川.桃坪厂/220kV.202开关,220,1,7012,7013,四川.桃坪厂.220.4898,四川.桃坪厂.220.4898
2611,四川.桃坪厂/220kV.212开关,220,1,7014,7015,四川.桃坪厂.220.4898,四川.桃坪厂.220.4898
2612,四川.桃坪厂/220kV.261开关,220,1,7016,7017,四川.桃坪厂.220.4898,四川.桃坪厂.220.4898
2613,四川.桃坪厂/220kV.262开关,220,1,7018,7019,四川.桃坪厂.220.4898,四川.桃坪厂.220.4898
2614,四川.桃坪厂/220kV.263开关,220,1,7020,7021,四川.桃坪厂.220.4898,四川.桃坪厂.220.4898
2615,四川.桃坪厂/220kV.264开关,220,1,7022,7023,四川.桃坪厂.220.4898,四川.桃坪厂.220.4898
2616,四川.资阳/220kV.265开关,220,1,7024,7025,西南.资阳站.220.4746,西南.资阳站.220.4746
2617,四川.资阳/220kV.266开关,220,0,7026,7027,西南.资阳站.220.nd7026,西南.资阳站.220.nd7027
2618,四川.资阳/220kV.267开关,220,1,7028,7029,西南.资阳站.220.4746,西南.资阳站.220.4746
2619,四川.资阳/220kV.268开关,220,1,7030,7031,西南.资阳站.220.4746,西南.资阳站.220.4746
2620,四川.资阳/220kV.273开关,220,1,7032,7033,西南.资阳站.220.4746,西南.资阳站.220.4746
2621,四川.资阳/220kV.274开关,220,1,7034,7035,西南.资阳站.220.4746,西南.资阳站.220.4746
2622,四川.草坝/220kV.263开关,220,1,7036,7037,四川.草坝.220.4435,四川.草坝.220.4435
2623,四川.草坝/220kV.264开关,220,1,7038,7039,四川.草坝.220.4435,四川.草坝.220.4435
2624,四川.德胜/220kV.201开关,220,1,7040,7041,四川.德胜.220.4703,四川.德胜.220.4703
2625,四川.德胜/220kV.202开关,220,0,7042,7043,四川.德胜.220.nd7042,四川.德胜.220.nd7043
2626,四川.德胜/220kV.212开关,220,1,7044,7045,四川.德胜.220.4703,四川.德胜.220.4703
2627,四川.德胜/220kV.261开关,220,1,7046,7047,四川.德胜.220.4703,四川.德胜.220.4703
2628,四川.德胜/220kV.262开关,220,1,7048,7049,四川.德胜.220.4703,四川.德胜.220.4703
2629,四川.桃乡/220kV.201开关,220,1,7050,7051,四川.桃乡.220.4710,四川.桃乡.220.4710
2630,四川.桃乡/220kV.202开关,220,0,7052,7053,四川.桃乡.220.4710,四川.桃乡.220.nd7053
2631,四川.桃乡/220kV.212开关,220,1,7054,7055,四川.桃乡.220.4710,四川.桃乡.220.4710
2632,四川.桃乡/220kV.213开关,220,1,7056,7057,四川.桃乡.220.4710,四川.桃乡.220.4710
2633,四川.桃乡/220kV.224开关,220,1,7058,7059,四川.桃乡.220.4710,四川.桃乡.220.4710
2634,四川.桃乡/220kV.234开关,220,1,7060,7061,四川.桃乡.220.4710,四川.桃乡.220.4710
