component_id,component_name,volt,sub_name,nd,island,sub_id
序号,并补名,电压等级,,物理节点,电气岛号,厂站索引
506,四川.普提/35kV.1-3#电抗器,35,西南.普提站,12038,-1,200
507,四川.普提/35kV.1-4#电抗器,35,西南.普提站,12040,-1,200
508,四川.内江/35kV.1-1#电抗器,35,四川.内江,12129,0,1414
509,四川.内江/35kV.1-1#电容器,35,四川.内江,12125,0,1414
510,四川.内江/35kV.1-2#电容器,35,四川.内江,12127,0,1414
511,四川.内江/35kV.2-1#电抗器,35,四川.内江,12135,-1,1414
512,四川.内江/35kV.2-1#电容器,35,四川.内江,12131,-1,1414
513,四川.内江/35kV.2-2#电容器,35,四川.内江,12133,-1,1414
514,四川.橄榄/35kV.1-1#电抗器,35,西南.橄榄站,12268,-1,1470
515,四川.橄榄/35kV.1-2#电抗器,35,西南.橄榄站,12270,-1,1470
516,四川.橄榄/35kV.1-1#电容器,35,西南.橄榄站,12271,-1,1470
517,四川.橄榄/35kV.1-2#电容器,35,西南.橄榄站,12273,-1,1470
518,四川.橄榄/35kV.3-1#电抗器,35,西南.橄榄站,12275,0,1470
519,四川.橄榄/35kV.3-2#电抗器,35,西南.橄榄站,12277,0,1470
520,四川.橄榄/35kV.3-1#电容器,35,西南.橄榄站,12279,0,1470
521,四川.橄榄/35kV.3-2#电容器,35,西南.橄榄站,12281,0,1470
522,四川.洪沟/35kV.#1SVC滤波电容器,35,西南.洪沟站,5957,0,126
523,西南.沐溪站/500kV.城沐二线线路高抗,500,西南.沐溪站,23541,0,551
524,西南.沐溪站/500kV.城沐一线线路高抗,500,西南.沐溪站,23540,0,551
525,四川.路平/35kV.1-1#电容器,35,四川.路平,12439,0,1506
526,四川.路平/35kV.1-2#电容器,35,四川.路平,12441,0,1506
527,四川.路平/35kV.1-3#电容器,35,四川.路平,12443,0,1506
528,四川.路平/35kV.1-1#电抗器,35,四川.路平,12435,0,1506
529,四川.路平/35kV.1-2#电抗器,35,四川.路平,12437,0,1506
530,四川.路平/35kV.2-1#电容器,35,四川.路平,12449,-1,1506
531,四川.路平/35kV.2-2#电容器,35,四川.路平,12451,-1,1506
532,四川.路平/35kV.2-1#电抗器,35,四川.路平,12445,-1,1506
533,四川.路平/35kV.2-2#电抗器,35,四川.路平,12447,-1,1506
534,四川.路平/35kV.2-3#电容器,35,四川.路平,12453,-1,1506
535,四川.达州/500kV.中达一线电抗器,500,四川.达州,23646,0,378
536,四川.达州/35kV.2-3#电抗器,35,四川.达州,6629,-1,377
537,四川.达州/35kV.1-3#电抗器,35,四川.达州,6619,0,377
538,四川.丹巴/35kV.1-1#电抗器,35,四川.丹巴,12810,-1,1577
539,四川.丹巴/35kV.1-2#电抗器,35,四川.丹巴,12812,-1,1577
540,四川.丹巴/35kV.1-3#电抗器,35,四川.丹巴,12814,-1,1577
541,四川.丹巴/35kV.2-1#电抗器,35,四川.丹巴,12816,0,1577
542,四川.丹巴/35kV.2-2#电抗器,35,四川.丹巴,12818,0,1577
543,四川.丹巴/35kV.2-3#电抗器,35,四川.丹巴,12820,0,1577
544,四川.木里/35kV.1-2#电抗器,35,西南.木里站,12490,0,960
545,四川.木里/35kV.2-2#电抗器,35,西南.木里站,12494,0,960
546,四川.南天/500kV.东天Ⅰ线电抗器,500,国调.南天站,23874,0,192
547,四川.南天/500kV.东天Ⅱ线电抗器,500,国调.南天站,23875,0,192
548,四川.水洛/35kV.1-2#电抗器,35,四川.水洛,12961,0,1602
549,四川.水洛/35kV.1-1#电抗器,35,四川.水洛,12959,0,1602
550,四川.乡城/35kV.2-1#电抗器,35,四川.乡城,13060,0,1618
551,四川.乡城/35kV.1-1#电抗器,35,四川.乡城,14181,0,1618
552,四川.乡城/35kV.2-2#电抗器,35,四川.乡城,13062,0,1618
553,四川.乡城/35kV.1-2#电抗器,35,四川.乡城,14183,0,1618
554,四川.乡城/35kV.1-3#电抗器,35,四川.乡城,14185,0,1618
555,四川.乡城/35kV.2-3#电抗器,35,四川.乡城,17260,0,1618
556,四川.乡城/35kV.3-1#电抗器,35,四川.乡城,50433,-1,1618
557,四川.乡城/35kV.3-2#电抗器,35,四川.乡城,50434,-1,1618
558,四川.乡城/35kV.3-3#电抗器,35,四川.乡城,50435,-1,1618
559,四川.水洛/500kV.乡水一线电抗器,500,四川.水洛,24014,0,1604
560,四川.水洛/500kV.乡水二线电抗器,500,四川.水洛,24013,0,1604
561,国调.宜宾换流站/500kV.5611ACF,500,国调.宜宾换流,13450,0,1685
562,国调.宜宾换流站/500kV.5612ACF,500,国调.宜宾换流,13452,0,1685
563,国调.宜宾换流站/500kV.5613SC,500,国调.宜宾换流,13454,0,1685
564,国调.宜宾换流站/500kV.5614SC,500,国调.宜宾换流,13456,0,1685
565,国调.宜宾换流站/500kV.5621ACF,500,国调.宜宾换流,13457,0,1685
566,国调.宜宾换流站/500kV.5622ACF,500,国调.宜宾换流,13459,0,1685
567,国调.宜宾换流站/500kV.5623ACF,500,国调.宜宾换流,13461,0,1685
