ID,Par_No,Trw,T5,T6,T7,Kr,Trp,Tw,Tw1,Tw2,Ks,T9,T10,T12,Kw,Kp,T1,T2,T13,T14,T3,T4,VSMAX,VSMIN,Note
65,65,0.020000,6.000000,6.000000,6.000000,1.125000,0.020000,0.830000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,3.000000,0.300000,0.030000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,_____
66,66,0.020000,5.000000,5.000000,5.000000,0.750000,0.020000,0.600000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,7.000000,0.300000,0.030000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,_____
67,67,0.020000,6.000000,6.000000,6.000000,0.150000,0.020000,0.714000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.100000,0.010000,0.100000,0.100000,0.300000,0.050000,0.050000,-0.050000,__#2
68,68,0.020000,5.000000,5.000000,5.000000,0.600000,0.020000,0.684000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.190000,0.020000,0.100000,0.100000,0.190000,0.020000,0.050000,-0.050000,___#1
69,69,0.020000,5.000000,5.000000,5.000000,1.250000,0.020000,0.850000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.190000,0.020000,0.100000,0.100000,0.300000,0.030000,0.050000,-0.050000,__#1
70,70,0.020000,5.000000,5.000000,5.000000,3.104000,0.200000,2.190000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,1.000000,0.200000,0.020000,0.100000,0.100000,0.200000,0.050000,0.050000,-0.050000,___
71,71,0.020000,3.000000,3.000000,3.000000,0.545434,0.020000,0.370000,3.000000,3.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.300000,0.030000,0.020000,0.070000,0.300000,0.030000,0.100000,-0.100000,_____
72,72,0.020000,5.000000,5.000000,5.000000,0.545256,0.020000,0.620000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.300000,0.030000,0.020000,0.070000,0.300000,0.030000,0.100000,-0.100000,___#2
73,73,0.020000,6.000000,6.000000,6.000000,0.730000,0.020000,0.920000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,3.000000,0.240000,0.030000,0.100000,0.100000,0.270000,0.030000,0.050000,-0.050000,_____
74,74,0.020000,6.000000,6.000000,6.000000,1.346000,0.020000,1.000000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,5.000000,0.300000,0.030000,1.000000,1.000000,0.300000,0.030000,0.050000,-0.050000,_____
75,75,0.020000,6.000000,6.000000,6.000000,1.307700,0.020000,1.070000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,5.000000,0.400000,0.040000,1.000000,2.500000,0.400000,0.040000,0.050000,-0.050000,_____
76,76,0.020000,6.000000,6.000000,6.000000,0.750000,0.020000,0.750000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,4.000000,0.240000,0.030000,0.100000,0.100000,0.360000,0.040000,0.050000,-0.050000,_____
77,77,0.020000,6.000000,6.000000,6.000000,2.125000,0.020000,1.300000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,3.000000,0.300000,0.030000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,_____
78,78,0.020000,5.000000,5.000000,5.000000,0.327200,0.020000,0.590000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.200000,0.020000,0.100000,0.100000,0.280000,0.030000,0.050000,-0.050000,___#1
79,79,0.020000,5.000000,5.000000,5.000000,0.327200,0.020000,0.660000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.200000,0.020000,0.100000,0.100000,0.280000,0.030000,0.050000,-0.050000,___#3
80,80,0.020000,6.000000,6.000000,6.000000,0.485400,0.020000,0.950000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.200000,0.030000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,___#11
81,81,0.020000,6.000000,6.000000,6.000000,0.486000,0.020000,0.947000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.000000,0.290000,0.030000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,___12
82,82,0.020000,6.000000,6.000000,6.000000,0.485400,0.020000,0.947000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.000000,0.290000,0.030000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,24_25___
83,83,0.020000,6.000000,6.000000,6.000000,0.485400,0.020000,0.805000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.200000,0.030000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,___#14
