id,name,volt,I_node,J_node,I_nd,J_nd,I_id,J_id
序号,刀闸名,电压等级,I端所在拓扑节点,J端所在拓扑节点,I端物理节点,J端物理节点,I端所属厂站索引,J端所属厂站索引
1952,四川.尖山/220kV.2343刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,177,3571,142,142
1953,四川.尖山/220kV.2344刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,178,3570,142,142
1954,四川.尖山/220kV.2611刀闸,220,四川.尖山.220.nd35010,四川.尖山.220.nd35011,35010,35011,142,142
1955,四川.尖山/220kV.2612刀闸,220,四川.尖山.220.nd35012,四川.尖山.220.nd35013,35012,35013,142,142
1956,四川.尖山/220kV.2616刀闸,220,四川.尖山.220.nd35014,四川.尖山.220.nd35015,35014,35015,142,142
1957,四川.尖山/220kV.2641刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3573,175,142,142
1958,四川.尖山/220kV.2642刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3573,176,142,142
1959,四川.尖山/220kV.2646刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,17946,3572,142,142
1960,四川.尖山/220kV.2651刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3575,175,142,142
1961,四川.尖山/220kV.2652刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3575,176,142,142
1962,四川.尖山/220kV.2656刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,17947,3574,142,142
1963,四川.尖山/220kV.2683刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3577,177,142,142
1964,四川.尖山/220kV.2684刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3577,178,142,142
1965,四川.尖山/220kV.2686刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,17948,3576,142,142
1966,四川.尖山/220kV.2693刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3579,177,142,142
1967,四川.尖山/220kV.2694刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3579,178,142,142
1968,四川.尖山/220kV.2696刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,17949,3578,142,142
1969,四川.尖山/220kV.2703刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3581,177,142,142
1970,四川.尖山/220kV.2704刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3581,178,142,142
1971,四川.尖山/220kV.2706刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,17950,3580,142,142
1972,四川.尖山/220kV.2733刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3583,177,142,142
1973,四川.尖山/220kV.2734刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3583,178,142,142
1974,四川.尖山/220kV.2736刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,17951,3582,142,142
1975,四川.尖山/220kV.2743刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3585,177,142,142
1976,四川.尖山/220kV.2744刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3585,178,142,142
1977,四川.尖山/220kV.2746刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,17952,3584,142,142
1978,四川.尖山/35kV.3016刀闸,35,四川.尖山.35.1303,四川.尖山.35.1303,17953,3586,143,143
1979,四川.尖山/35kV.3026刀闸,35,四川.尖山.35.1304,四川.尖山.35.1304,17954,3587,143,143
1980,四川.尖山/35kV.3111刀闸,35,四川.尖山.35.1303,四川.尖山.35.1303,3589,179,143,143
1981,四川.尖山/35kV.3121刀闸,35,四川.尖山.35.1303,四川.尖山.35.1303,3591,179,143,143
1982,四川.尖山/35kV.3141刀闸,35,四川.尖山.35.1303,四川.尖山.35.1303,3593,179,143,143
1983,四川.尖山/35kV.3151刀闸,35,四川.尖山.35.1303,四川.尖山.35.1303,3595,179,143,143
1984,四川.尖山/500kV.50111刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,181,3604,144,144
1985,四川.尖山/500kV.50112刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,3605,17955,144,144
