index,sub
10522,1398
10531,1399
10532,1398
10591,1407
10592,1125
10601,1408
10602,1409
10611,1408
10612,1409
10621,1410
10622,1411
10711,1415
10712,1459
10721,1463
10722,1464
10771,1484
10772,1485
10781,1484
10782,1485
10791,1487
10792,1488
10801,1487
10802,1488
10811,1487
10812,1488
10831,1489
10832,1490
10861,1496
10862,1497
10941,1510
10942,1511
10951,1510
10952,1511
10961,1510
10962,1511
10971,1510
10972,1511
11001,1517
11002,1518
11011,1519
11012,1521
11021,1519
11022,1521
11031,1519
11032,1521
11041,1519
11042,1521
11051,368
11052,1524
11061,368
11062,1524
11071,1417
11072,1524
11081,267
11082,1525
11091,267
11092,1525
11101,267
11102,1525
11111,425
11112,1526
11121,425
11122,1526
11131,425
11132,1526
11161,1522
11162,1533
11171,1522
11172,1533
11181,1522
11182,1533
11191,1522
11192,1533
11201,314
11202,1532
11211,314
11212,1532
11221,314
11222,1532
11231,377
11232,1462
11241,377
11242,1462
11251,377
11252,1462
11261,1536
11262,1537
11271,1536
11272,1537
11281,1542
11282,1802
11291,1542
11292,1802
11301,1542
11302,1802
11311,1542
11312,1802
11321,1542
11322,1802
11331,1542
11332,1802
11341,1542
11342,1802
11351,1542
11352,1802
11361,1542
11362,1802
11371,1542
11372,1802
11381,1542
11382,1802
11391,1542
11392,1802
11401,1542
11402,1802
11411,1542
11412,1802
11421,1542
11422,1802
11431,1542
11432,1802
11441,1542
11442,1802
11451,1542
11452,1802
11461,1542
11462,1802
11471,1542
11472,1802
11481,1542
11482,1802
11491,1542
11492,1802
11501,1542
11502,1802
11511,1542
11512,1802
11521,1542
11522,1802
11531,1542
11532,1802
11541,1542
11542,1802
11551,1542
11552,1802
11561,1542
11562,1802
11571,1542
11572,1802
11581,1542
11582,1802
11591,1542
11592,1802
11601,1542
11602,1802
11611,1542
11612,1802
11621,1542
11622,1802
11631,1542
11632,1802
11641,1542
11642,1802
11651,1542
11652,1802
11661,1542
11662,1802
11671,1542
11672,1802
11681,1542
11682,1802
11691,1542
11692,1802
11711,1543
11712,1542
11721,95
11722,1547
11731,95
11732,1547
11741,95
11742,1547
11751,87
11752,1479
11761,87
11762,1479
11771,158
11772,1548
11781,158
11782,1548
11791,158
11792,1548
