CN,sub
2430,34
2429,34
2426,34
2425,34
50178,32
50179,32
2429,34
2429,34
18334,215
17597,63
18593,276
18206,57
17624,72
50182,68
17626,72
17598,63
17653,78
50184,154
50186,154
17734,94
17733,94
17735,94
17635,75
17737,94
17738,94
17736,94
50187,44
50189,103
17764,103
17774,103
18014,156
18013,156
18269,202
18270,202
17830,115
17833,115
17840,116
17691,86
17690,86
19451,444
19444,444
17869,124
17868,122
17874,125
17875,125
17603,66
17929,46
17930,46
17928,46
17644,77
17643,77
17680,83
17951,142
17667,82
17669,82
17967,147
17966,147
17963,146
22939,514
18443,235
21302,547
17947,142
17932,139
50194,79
50196,79
18146,181
17664,81
18015,156
18011,156
18037,161
50198,76
18069,169
18070,169
18061,167
18062,167
18082,172
17601,64
50200,83
50202,83
17719,89
17633,73
18107,174
18101,174
18103,174
18102,174
18163,183
18188,186
18186,186
18187,186
17915,135
17917,135
20579,460
50257,460
18376,223
19497,101
17882,127
17879,127
17681,85
50204,317
18276,203
17675,83
17676,83
17594,44
17595,44
50206,198
17572,60
17571,60
18131,178
18130,178
18278,203
18279,203
18583,273
18586,273
18300,209
18299,209
50208,166
18382,224
18381,224
50210,144
17791,106
17790,106
17861,121
17860,121
17651,78
18374,222
18375,222
50262,174
50263,174
18095,176
18172,184
18171,184
18417,230
50212,230
17668,82
18470,242
18471,242
50213,242
50215,242
17781,104
18341,216
18036,161
18515,257
18120,177
50218,177
50220,177
18174,184
18173,184
18363,217
18361,217
50221,147
17992,153
18602,281
18603,281
18170,184
18169,184
17982,149
17981,149
18864,101
18378,224
18527,261
17634,75
18058,167
18059,167
18335,215
18543,48
18544,48
19509,450
50223,98
18345,216
18729,311
17567,59
20781,59
17606,67
18287,206
50225,185
17720,89
18739,313
18738,313
18740,313
25779,106
17890,127
17888,127
17801,108
17689,86
17692,86
20366,159
18022,159
18045,163
18042,163
50227,111
18078,170
17898,133
18737,313
18736,313
18159,180
18156,180
18137,179
18204,57
50229,197
18222,192
940,100
17725,90
18288,206
17708,88
17707,88
50231,144
18124,177
18125,177
18672,296
18673,296
18093,176
18184,186
18185,186
18452,237
18453,237
18215,49
18214,49
18474,244
17964,146
17618,70
17969,147
17968,147
18044,163
18043,163
50233,105
50235,105
17802,108
18211,191
18100,174
18099,174
18692,300
17710,88
17699,53
18190,188
18230,196
17696,53
26188,53
17698,53
17903,55
17902,55
17703,53
18202,57
18756,49
18755,49
17697,53
19720,454
18435,234
19195,373
18777,214
19719,454
18779,330
19105,374
18782,53
23715,76
18792,332
18795,334
19162,394
18789,144
17962,144
19178,394
18972,73
19193,375
19177,394
19223,379
19215,378
19247,380
19246,380
19245,380
19244,380
18885,45
19163,394
19221,379
18742,313
18741,313
17702,53
17701,53
19284,387
25780,106
18639,290
17743,94
50238,44
18807,49
18812,230
18817,141
19280,386
50239,44
5497,292
19104,374
17695,53
18822,101
18794,334
17663,81
18836,343
18837,343
19069,376
19070,376
19071,376
19724,454
19723,454
19213,378
19108,388
19109,388
19083,389
19082,389
17906,55
17907,55
18791,332
18191,188
18852,347
18856,349
19147,392
19146,392
19122,388
19121,388
18863,68
18873,305
18872,305
50246,390
50247,390
19182,390
19181,390
18320,212
18866,212
17590,44
17591,44
19075,389
18879,353
17810,110
19222,379
19066,389
19220,379
19219,379
19077,389
19067,389
50242,142
18128,178
19229,395
19228,395
18892,101
18915,355
18922,355
18928,355
18908,355
18164,183
18933,357
18936,359
19269,396
19285,396
17931,137
18937,165
19297,400
19187,391
18952,137
18003,155
18002,155
18955,59
18956,59
17742,94
17741,94
19300,131
17942,140
17941,140
18089,176
17957,144
18090,176
17959,144
19110,403
19112,403
18788,144
18960,315
18958,315
17750,93
18898,93
18971,101
19092,401
19093,401
18930,355
20603,405
17670,82
19273,405
19274,405
19009,371
19008,371
19030,94
19025,365
18488,250
18489,250
19028,365
19012,209
18304,209
21304,547
21305,547
18394,227
18431,56
18783,59
20604,405
19271,405
19272,405
18253,201
18265,201
19318,416
19131,410
18881,353
19380,427
19175,414
19072,414
19257,383
19405,383
19357,422
17662,79
19150,79
19024,365
19342,417
50243,125
19363,423
19029,365
17978,148
19156,105
19157,105
17608,67
17607,67
19404,428
19137,410
19417,525
19416,525
19335,417
19422,432
23468,420
23464,420
19154,412
19153,412
19322,392
19321,392
18429,56
19149,411
19148,411
19304,415
19011,371
19010,371
50249,416
18509,252
19382,427
19381,427
18615,284
19239,409
19353,421
19352,421
50250,382
50251,382
19423,432
19305,415
19427,101
19431,157
17632,73
19426,73
50252,304
17961,144
19494,455
18166,183
19430,157
19298,400
17872,125
50264,125
18710,305
18418,230
18342,216
17569,59
50266,253
18800,125
18801,125
20755,469
18818,141
19953,482
17650,78
20286,502
5925,335
17895,130
20822,505
22077,510
23339,74
8223,338
8221,338
20316,303
18447,235
19022,365
19023,365
18613,284
18614,284
19135,410
50269,410
50271,260
21091,222
18371,222
18370,222
17863,121
17862,121
18564,268
18982,268
18081,172
50273,455
50275,235
19306,415
20249,268
18512,255
20487,397
20489,397
21094,83
21095,83
20522,402
20523,402
21099,532
21100,532
17849,119
17818,45
937,536
17817,45
50277,445
17756,97
19485,451
19486,451
21142,533
21146,533
18784,93
18576,271
21164,540
21004,412
21092,48
21200,541
21172,93
18542,48
19465,447
50256,447
21448,546
21453,546
21264,550
21266,550
21291,551
21293,551
18567,268
18565,268
21353,552
21311,273
18581,273
20685,365
21396,180
18158,180
21378,559
20700,512
21447,422
