index,sub
9763,1288
9821,514
9822,1297
9823,1296
9831,514
9832,1297
9833,1296
10061,551
10062,1330
10063,1331
10071,551
10072,1330
10073,1331
10151,893
10152,894
10153,895
10161,893
10162,894
10163,895
10291,1363
10292,1368
10293,1362
10301,1363
10302,1368
10303,1362
10381,1377
10382,1378
10383,1379
10391,1377
10392,1378
10393,1379
10401,51
10402,1162
10403,1162
10431,1384
10432,1385
10433,1383
10501,1395
10502,1396
10503,1397
10511,1395
10512,1396
10513,1397
10541,1403
10542,1400
10543,1401
10551,1403
10552,1400
10553,1401
10561,201
10562,199
10563,200
10571,1404
10572,1405
10573,1406
10581,1404
10582,1405
10583,1406
10631,1412
10632,1413
10633,1414
10641,1412
10642,1413
10643,1414
10651,64
10652,713
10653,712
10661,1425
10662,1427
10663,1428
10671,1425
10672,1427
10673,1428
10681,1458
10682,1457
10683,1456
10691,1458
10692,1457
10693,1456
10701,67
10702,711
10703,710
10731,984
10732,1471
10733,1470
10741,984
10742,1471
10743,1470
10751,1480
10752,1481
10753,1482
10761,1480
10762,1481
10763,1482
10821,208
10822,823
10823,824
10841,1491
10842,1492
10843,1493
10851,1491
10852,1492
10853,1493
10871,1486
10872,1499
10873,1498
10881,1486
10882,1499
10883,1498
10891,1501
10892,1502
10893,1503
10901,1501
10902,1502
10903,1503
10911,1504
10912,1505
10913,1506
10921,1504
10922,1505
10923,1506
10931,1507
10932,1508
10933,1509
10981,1514
10982,1515
10983,1516
10991,1514
10992,1515
10993,1516
11141,1527
11142,1528
11143,1529
11151,1527
11152,1528
11153,1529
11701,1543
11702,1323
11703,1542
12441,1578
12442,1576
12443,1577
12451,1578
12452,1576
12453,1577
12461,1581
12462,1583
12463,1582
12471,1581
12472,1583
12473,1582
12481,235
12482,652
12483,651
12501,1584
12502,1585
12503,1586
12511,1584
12512,1585
12513,1586
12531,1589
12532,1590
12533,1591
12631,1595
12632,1596
12633,1597
12641,1595
12642,1596
12643,1597
12651,148
12652,554
12653,521
12781,1604
12782,1601
12783,1602
12901,1616
12902,1617
12903,1618
13151,1630
13152,1631
13153,1632
13161,1630
13162,1631
13163,1632
13171,1633
13172,1634
13173,1635
13181,1633
13182,1634
13183,1635
13221,141
13222,803
13223,804
13331,1650
13332,1651
13333,1652
13341,1653
13342,1654
13343,1655
13351,1653
13352,1654
13353,1655
13741,1662
13742,1663
13743,1664
13751,1662
13752,1663
13753,1664
13761,1665
13762,1666
13763,1667
13821,1668
13822,1670
13823,1669
13851,1642
13852,1803
13853,1803
13861,1642
13862,1803
13863,1803
13871,1642
13872,1803
13873,1803
13881,1642
13882,1803
13883,1803
13891,1642
13892,1803
13893,1803
13901,1642
13902,1803
13903,1803
13911,1642
13912,1803
13913,1803
13921,1642
13922,1803
13923,1803
13931,1642
13932,1803
