name,CN_I,CN_J,TxI,TxJ
四川.热枯河厂/2#变压器,8199,767,2971,2972
四川.白水河厂/2#变压器,8216,8219,2981,2982
四川.白水河厂/3#变压器,8215,770,2991,2992
四川.龙潭厂/2#变压器,8283,774,3081,3082
四川.南桠河厂/2#变压器,20575,777,3231,3232
四川.四板沟厂/1#变压器,782,20763,3321,3322
四川.灵溪厂/1#变压器,8766,21047,3471,3472
四川.戎州厂/1#变压器,21059,21063,3481,3482
四川.戎州厂/2#变压器,21061,23018,3491,3492
四川.坪头厂/2#变压器,8794,799,3501,3502
四川.坪头厂/1#变压器,8792,798,3511,3512
四川.河门口厂/11#变压器,8840,21123,3521,3522
四川.河门口厂/3#启动变,8844,26847,3541,3542
四川.江边厂/5#变压器,9001,21209,3571,3572
四川.泸定厂/1#变压器,21217,21212,3581,3582
四川.泸定厂/4#变压器,21221,21215,3591,3592
四川.泸定厂/2#变压器,21218,21213,3601,3602
四川.泸定厂/3#变压器,21220,21214,3611,3612
四川.绿叶厂/1#变压器,9205,21333,3661,3662
四川.绿叶厂/2#变压器,9207,21334,3671,3672
四川.窦团厂/1#变压器,9235,21370,3681,3682
四川.窦团厂/2#变压器,9237,21371,3691,3692
四川.窦团厂/3#变压器,9239,21372,3701,3702
四川.毛尔盖厂/1#变压器,21414,861,3731,3732
四川.毛尔盖厂/2#变压器,21411,862,3741,3742
四川.毛尔盖厂/3#变压器,9323,21416,3751,3752
四川.毛尔盖厂/4#变压器,9320,861,3761,3762
四川.新平Ⅱ厂/2#变压器,873,21421,3771,3772
四川.楼方厂/1#变压器,21437,9345,3781,3782
四川.其亚/1#动力变压器,18757,26887,4861,4862
四川.其亚/1#调压变压器,18758,26888,4871,4872
四川.其亚/2#调压变压器,18759,26889,4881,4882
四川.其亚/3#调压变压器,18760,26890,4891,4892
四川.其亚/4#调压变压器,18761,26891,4901,4902
四川.其亚/5#调压变压器,18762,26892,4911,4912
四川.文山/3#变压器,19283,27128,5011,5012
四川.文山/2#变压器,19282,27127,5021,5022
