id,name,volt,I_node,J_node,I_nd,J_nd,I_id,J_id
序号,断路器名,电压等级,I端所在拓扑节点,J端所在拓扑节点,I端物理节点,J端物理节点,I端所属厂站索引,J端所属厂站索引
9878,四川.路平/380V.直流系统#3充电机交流进线2虚开关,0,四川.路平.0.nd32336,四川.路平.0.nd32337,32336,32337,1568,1568
9879,四川.南充/380V.#11ZLK虚开关,0,四川.南充.0.nd32338,四川.南充.0.nd32339,32338,32339,2433,2433
9880,四川.南充/380V.#12ZLK虚开关,0,四川.南充.0.nd32340,四川.南充.0.nd32341,32340,32341,2433,2433
9881,四川.南充/380V.#16ZLK虚开关,0,四川.南充.0.nd32342,四川.南充.0.nd32343,32342,32343,2433,2433
9882,四川.南充/380V.#21ZLK虚开关,0,四川.南充.0.nd32344,四川.南充.0.nd32345,32344,32345,2433,2433
9883,四川.南充/380V.#22ZLK虚开关,0,四川.南充.0.nd32346,四川.南充.0.nd32347,32346,32347,2433,2433
9884,四川.南充/380V.#26ZLK虚开关,0,四川.南充.0.nd32348,四川.南充.0.nd32349,32348,32349,2433,2433
9885,四川.南充/380V.#31ZLK虚开关,0,四川.南充.0.nd32350,四川.南充.0.nd32351,32350,32351,2433,2433
9886,四川.南充/380V.#32ZLK虚开关,0,四川.南充.0.nd32352,四川.南充.0.nd32353,32352,32353,2433,2433
9887,四川.南充/380V.#36ZLK虚开关,0,四川.南充.0.nd32354,四川.南充.0.nd32355,32354,32355,2433,2433
9888,四川.南充/380V.7011开关,0,四川.南充.0.nd32356,四川.南充.0.nd32357,32356,32357,2433,2433
9889,四川.南充/380V.7012开关,0,四川.南充.0.nd32358,四川.南充.0.nd32359,32358,32359,2433,2433
9890,四川.南充/380V.7021开关,0,四川.南充.0.nd32360,四川.南充.0.nd32361,32360,32361,2433,2433
9891,四川.南充/380V.7022开关,0,四川.南充.0.nd32362,四川.南充.0.nd32363,32362,32363,2433,2433
9892,四川.南充/380V.7031开关,0,四川.南充.0.nd32364,四川.南充.0.nd32365,32364,32365,2433,2433
9893,四川.南充/380V.7032开关,0,四川.南充.0.nd32366,四川.南充.0.nd32367,32366,32367,2433,2433
9894,四川.南充/380V.8102开关,0,四川.南充.0.nd32368,四川.南充.0.nd32369,32368,32369,2433,2433
9895,四川.南充/380V.8101开关,0,四川.南充.0.nd32370,四川.南充.0.nd32371,32370,32371,2433,2433
