id,name,type,I_Vol,K_Vol,J_Vol,I_S,K_S,J_S,Itap_H,Itap_L,Itap_E,Itap_C,Itap_V,Ktap_H,Ktap_L,Ktap_E,Ktap_C,Ktap_V,Jtap_V,Ri,Xi,Rk,Xk,Rj,Xj,I_node,K_node,J_node,I_P,I_Q,K_P,K_Q,J_P,J_Q,I_tap,K_tap,I_off,K_off,J_off,Pi_meas,Qi_meas,Pk_meas,Qk_meas,Pj_meas,Qj_meas,Ti_meas,Tk_meas,G,B,I_nd,K_nd,J_nd,I_bs,K_bs,J_bs,I_island,K_island,J_island,Ri*,Xi*,Rk*,Xk*,Rj*,Xj*,I_t,K_t,J_t,IBase_V,KBase_V,JBase_V
1240,四川.资阳/2#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.资阳站.35.nd41581,'',西南.资阳站.0.nd41582,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.10,0.08,'','',99.50,74.62,'','','','',41581,-1,41582,4769,-2,4873,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1241,四川.资阳/0#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.资阳站.35.nd41583,'',西南.资阳站.0.nd41584,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.00,0.00,'','',0.00,0.00,'','','','',41583,-1,41584,4770,-2,4874,-1,-1,-1,0.000146,0.039445,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1242,四川.吉牛厂/2#变压器,2,220,0,13,135,0,135,5,1,3,-0.025,242.0,17,1,1,-0.0125,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,四川.吉牛厂.220.7646,'',四川.吉牛厂.13.7648,-116.93,17.14,0.0,0.0,117.186,-3.194,4,0,0,0,0,-118.40,18.02,'','','','','','','','',12793,-1,23770,7646,-2,7648,0,-1,0,0.001777,0.09666699999999999,0.0,0.0,0.0,0.0,1.02587,0.0,1.0,230.0,0.0,13.8
1243,四川.吉牛厂/1#变压器,2,220,0,13,135,0,135,5,1,3,-0.025,242.0,17,1,1,-0.0125,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,四川.吉牛厂.220.7646,'',四川.吉牛厂.13.7647,-113.87100000000001,20.328,0.0,0.0,114.117,-6.9670000000000005,4,0,0,0,0,-115.26,21.17,'','','','','','','','',12791,-1,23771,7646,-2,7647,0,-1,0,0.001777,0.09666699999999999,0.0,0.0,0.0,0.0,1.02587,0.0,1.0,230.0,0.0,13.8
1249,四川.路平/0#站用变,2,10,0,0,0,0,0,1,1,1,0.0,10.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,四川.路平.10.nd41585,'',四川.路平.0.nd41586,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.00,0.00,'','','','','','','','',41585,-1,41586,7466,-2,7539,-1,-1,-1,0.2,0.54,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.38
1252,四川.山棱岗厂/1#变压器,2,110,0,10,56,0,56,5,1,3,-0.025,115.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,四川.山棱岗厂.110.nd12867,'',四川.山棱岗厂.10.nd1423,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,-20.29,1.64,'','','','','','','','',12867,-1,1423,7689,-2,7691,-1,-1,-1,0.003781,0.075614,0.0,0.0,0.003781,0.075614,1.0,0.0,1.0,115.0,0.0,10.5
1254,四川.石碉楼厂/2#变压器,2,35,0,6,12,0,12,5,1,3,-0.025,38.5,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,四川.石碉楼厂.35.7702,'',四川.石碉楼厂.6.7703,-4.617,-0.624,0.0,0.0,4.62,0.71,0,0,0,0,0,-3.71,-1.52,'','','','','','','','',12880,-1,23831,7702,-2,7703,0,-1,0,0.014609,0.36523,0.0,0.0,0.0,0.36523,1.040541,0.0,1.0,37.0,0.0,6.3
1255,四川.石碉楼厂/3#变压器,2,35,0,6,8,0,8,5,1,3,-0.025,38.5,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,四川.石碉楼厂.35.7702,'',四川.石碉楼厂.6.7704,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.03,0.02,'','','','','','','','',12881,-1,23836,7702,-2,7704,0,-1,0,0.014609,0.36523,0.0,0.0,0.0,0.36523,1.040541,0.0,1.0,37.0,0.0,6.3
1256,四川.青居厂/3#变压器,2,110,0,35,30,0,30,5,1,3,-0.025,115.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,四川.青居厂.110.nd23840,'',四川.青居厂.35.nd23841,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,'','','','','','','','','','',23840,-1,23841,6456,-2,6461,-1,-1,-1,0.004536999999999999,0.11342200000000001,0.0,0.0,0.0,0.075614,1.0,0.0,1.0,115.0,0.0,37.0
1257,四川.山棱岗厂/2#变压器,2,110,0,10,56,0,56,5,1,3,-0.025,115.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,四川.山棱岗厂.110.nd41587,'',四川.山棱岗厂.10.nd41588,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,'','','','','','','','','','',41587,-1,41588,7690,-2,7692,-1,-1,-1,0.004536999999999999,0.11342200000000001,0.0,0.0,0.0,0.075614,1.0,0.0,1.0,115.0,0.0,10.5
1258,四川.九洪厂/1#变压器,2,110,0,10,16,0,16,5,1,3,-0.025,115.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,四川.九洪厂.110.7707,'',四川.九洪厂.10.7708,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-2.68,-1.41,'','','','','','','','',12901,-1,12908,7707,-2,7708,19,-1,19,0.004536999999999999,0.11342200000000001,0.0,0.0,0.0,0.075614,1.0,0.0,1.0,115.0,0.0,10.5
1259,四川.九洪厂/2#变压器,2,110,0,10,16,0,16,5,1,3,-0.025,115.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,四川.九洪厂.110.7707,'',四川.九洪厂.10.19785,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-5.40,-2.18,'','','','','','','','',12903,-1,12909,7707,-2,19785,19,-1,19,0.004536999999999999,0.11342200000000001,0.0,0.0,0.0,0.075614,1.0,0.0,1.0,115.0,0.0,10.5
1260,四川.黄岩/3#站用变,2,35,0,4,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.黄岩站.35.nd41589,'',西南.黄岩站.4.nd41590,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.00,0.00,'','',0.00,0.00,'','','','',41589,-1,41590,1158,-2,1164,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,4.0
1261,四川.黄岩/1#站用变,2,35,0,4,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.黄岩站.35.nd41591,'',西南.黄岩站.4.nd41592,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.08,0.05,'','',92.32,52.75,'','','','',41591,-1,41592,1159,-2,1165,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,4.0
1262,四川.黄岩/2#站用变,2,35,0,4,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.黄岩站.35.nd41593,'',西南.黄岩站.4.nd41594,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.05,0.05,'','',75.68,65.27,'','','','',41593,-1,41594,1160,-2,1166,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,4.0
1266,四川.雅安/1#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,四川.雅安.35.nd41595,'',四川.雅安.0.nd41596,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.04,0.00,'','',56.18,30.55,'','','','',41595,-1,41596,3374,-2,3388,-1,-1,-1,0.000146,0.039445,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
