id,name,type,I_Vol,K_Vol,J_Vol,I_S,K_S,J_S,Itap_H,Itap_L,Itap_E,Itap_C,Itap_V,Ktap_H,Ktap_L,Ktap_E,Ktap_C,Ktap_V,Jtap_V,Ri,Xi,Rk,Xk,Rj,Xj,I_node,K_node,J_node,I_P,I_Q,K_P,K_Q,J_P,J_Q,I_tap,K_tap,I_off,K_off,J_off,Pi_meas,Qi_meas,Pk_meas,Qk_meas,Pj_meas,Qj_meas,Ti_meas,Tk_meas,G,B,I_nd,K_nd,J_nd,I_bs,K_bs,J_bs,I_island,K_island,J_island,Ri*,Xi*,Rk*,Xk*,Rj*,Xj*,I_t,K_t,J_t,IBase_V,KBase_V,JBase_V
277,四川.达州/2#变压器,3,500,220,35,750,750,240,1,1,1,0.0,525.0,5,1,3,-0.025,230.0,36.0,0.0,0.0,0.0,-0.0,0.0,0.0,四川.达州.500.4442,四川.达州.220.4444,四川.达州.35.nd19199,72.327,94.661,-72.3,-92.4,0.0,0.0,0,2,0,0,1,71.90,92.89,-71.96,-91.86,0.00,0.00,'',0.00,'','',19214,19197,19199,4442,4444,4456,0,0,-1,0.00011999999999999999,0.018,5.9999999999999995e-05,-0.002133,0.000478,0.041467000000000004,1.0,1.025,0.972973,525.0,230.0,37.0
278,四川.叙府/1#变压器,3,500,220,35,1000,1000,240,1,1,1,0.0,525.0,5,1,3,-0.025,230.0,36.0,0.0,0.0,0.0,-0.0,0.0,0.0,西南.叙府站.500.3215,西南.叙府站.220.3219,西南.叙府站.35.3234,276.519,-60.902,-276.378,-35.158,0.002,109.71799999999999,0,3,0,0,0,272.87,-56.04,-276.58,-33.77,-0.00,104.22,'',104.22,'','',18566,18557,18563,3215,3219,3234,0,0,0,5.5e-05,0.0145,7.099999999999999e-05,-0.0022,0.00049,0.0342,1.0,1.0,0.972973,525.0,230.0,37.0
279,四川.叙府/2#变压器,3,500,220,35,1000,1000,300,1,1,1,0.0,525.0,5,1,3,-0.025,230.0,36.0,0.0,0.0,0.0,-0.0,0.0,0.0,西南.叙府站.500.3215,西南.叙府站.220.3219,西南.叙府站.35.3235,279.277,-61.023999999999994,-279.129,-50.556000000000004,0.012,126.404,0,3,0,0,0,281.40,-47.51,-280.60,-65.93,0.00,125.89,'',125.89,'','',18983,18980,18981,3215,3219,3235,0,0,0,0.000102,0.014135,2.2e-05,-0.001974,0.00053,0.034365,1.0,1.0,0.972973,525.0,230.0,37.0
281,四川.滨东厂/3#变压器,3,220,110,10,50,50,25,5,1,3,-0.025,242.0,5,1,3,-0.025,121.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,四川.滨东厂.220.559,四川.滨东厂.110.560,四川.滨东厂.10.563,-15.618,-2.929,17.329,4.416,-1.676,0.008,1,0,0,0,0,-15.39,-2.73,'','','','','','','','',2724,20287,755,559,560,563,0,0,0,0.0055439999999999994,0.2759,0.003123,0.171098,0.006166,-0.0079,1.104783,1.052174,1.0,230.0,115.0,10.5
285,四川.红房子厂/1#变压器,3,220,110,10,75,37,37,5,1,3,-0.025,242.0,1,1,1,0.0,121.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,四川.红房子厂.220.1131,四川.红房子厂.110.1134,四川.红房子厂.10.1135,-30.213,1.879,1.23,1.121,29.11,-1.166,9,0,0,0,0,-30.90,3.10,'','','','','','','','',17896,17894,48,1131,1134,1135,0,0,0,0.010291,0.1904,0.009187,0.112132,-0.004365,-0.008131999999999999,1.052174,1.052174,1.0,230.0,115.0,10.5
286,四川.雅安/2#变压器,3,500,220,35,750,750,240,1,1,1,0.0,550.0,5,1,3,-0.025,230.0,36.0,0.0,0.0,0.0,-0.0,0.0,0.0,四川.雅安.500.3364,四川.雅安.220.3368,四川.雅安.35.3370,-242.382,-99.584,242.52700000000002,53.206,-0.008,60.001999999999995,0,2,0,0,0,-246.30,-81.65,243.32,41.39,-0.08,55.10,'',55.10,'','',18579,18572,18577,3364,3368,3370,0,0,0,8.3e-05,0.0179,7.5e-05,-0.001847,0.000449,0.039939999999999996,1.047619,1.025,0.972973,525.0,230.0,37.0
287,四川.五一桥厂/3#变压器,3,220,110,10,75,75,22,5,1,3,-0.025,242.0,1,1,1,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,四川.五一桥厂.220.3768,四川.五一桥厂.110.3769,四川.五一桥厂.10.nd759,-32.547,-4.072,32.562,4.428999999999999,0.0,0.0,0,0,0,0,1,-32.92,-4.22,32.97,7.90,'','','','','','',5860,8136,759,3768,3769,3773,0,0,-1,0.000681,0.018,0.000454,0.01128,0.0016309999999999999,0.000794,1.052174,1.0,1.0,230.0,115.0,10.5
288,四川.五一桥厂/4#变压器,3,110,35,10,6,6,3,1,1,1,0.0,115.0,1,1,1,0.0,37.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,四川.五一桥厂.110.3769,四川.五一桥厂.35.3770,四川.五一桥厂.10.3774,-0.0,-0.45399999999999996,1.212,1.161,-1.212,-0.706,0,0,0,0,0,0.00,0.00,0.00,0.00,'','','','','','',20342,20343,26841,3769,3770,3774,0,0,0,0.0015119999999999999,0.039758,0.0015119999999999999,-0.003123,0.0015119999999999999,0.009013,1.0,1.0,1.0,115.0,37.0,10.5
290,四川.九龙/2#变压器,3,500,220,35,750,750,240,1,1,1,0.0,550.0,5,1,3,-0.025,230.0,36.0,0.0,0.0,0.0,-0.0,0.0,0.0,四川.九龙.500.1394,四川.九龙.220.1399,四川.九龙.35.nd18021,-404.575,71.501,404.892,-42.645,0.0,0.0,0,1,0,0,1,-405.53,77.94,404.32,-48.23,0.00,0.00,'',0.00,'','',18024,18017,18021,1394,1399,1411,0,0,-1,8.3e-05,0.017973,8.6e-05,-0.001907,0.000508,0.040667,1.047619,1.05,0.972973,525.0,230.0,37.0
291,四川.石棉/1#变压器,3,500,220,35,750,750,240,1,1,1,0.0,550.0,5,1,3,-0.025,230.0,36.0,0.0,0.0,0.0,-0.0,0.0,0.0,四川.石棉.500.2469,四川.石棉.220.2477,四川.石棉.35.nd18323,-355.185,69.558,355.45300000000003,-47.28,0.0,0.0,1,1,0,0,1,-355.26,77.62,355.51,-55.37,0.00,0.00,'',0.00,'','',18325,18314,18323,2469,2477,2488,0,0,-1,9.7e-05,0.0182,8e-05,-0.002463,0.000493,0.040333,1.047619,1.05,0.972973,525.0,230.0,37.0
