id,name,volt,Q_rate,V_rate,position,node,P,Q,off,Q_meas,nd,bs,island,type,base_value
序号,并补名,电压等级,额定容量,额定电压,连接位置,所在拓扑节点,有功功率,无功功率,停运标志,无功量测,物理节点,计算节点,电气岛号,类型,电压等级
94,南充.35kV.1-1#电抗器,35,-45.000,37.000,0,四川.南充.35.1837,0.000,-43.773,0,-44.14,4281,1837,0,Compensator_P,35
95,南充.35kV.1-2#电抗器,35,-45.000,37.000,0,四川.南充.35.1837,0.000,0.000,1,0,4283,1837,0,Compensator_P,35
96,南充.35kV.1-3#电抗器,35,-45.000,37.000,0,四川.南充.35.1837,0.000,-43.773,0,-44.06,4285,1837,0,Compensator_P,35
97,普提站.500kV.百普线线路高抗,500,-180.000,525.000,西南.百普线,西南.普提站.500.2181,0.000,-165.419,0,-164.19,18255,2181,0,Compensator_P,525
98,普提站.500kV.榄普二线线路高抗,500,-180.000,525.000,西南.榄普二线,西南.普提站.500.2181,0.000,-165.419,0,-163.13,18249,2181,0,Compensator_P,525
99,普提.35kV.2-1#电抗器,35,-60.000,37.000,0,西南.普提站.35.nd50414,0.000,0.000,1,0,50414,2204,-1,Compensator_P,35
100,普提.35kV.2-2#电抗器,35,-60.000,37.000,0,西南.普提站.35.nd4443,0.000,0.000,1,0,4443,2196,-1,Compensator_P,35
101,普提.35kV.2-3#电抗器,35,-60.000,37.000,0,西南.普提站.35.nd4445,0.000,0.000,1,0,4445,2196,-1,Compensator_P,35
102,普提.35kV.2-4#电抗器,35,-60.000,37.000,0,西南.普提站.35.nd4447,0.000,0.000,1,0,4447,2196,-1,Compensator_P,35
103,石板箐.35kV.2#电抗器,35,-45.000,37.000,0,西南.石板箐站.35.2326,0.000,-39.404,0,-42.34,4588,2326,0,Compensator_P,35
104,石板箐.35kV.3#电抗器,35,-45.000,37.000,0,西南.石板箐站.35.2326,0.000,0.000,1,0,4590,2326,0,Compensator_P,35
105,石板箐.35kV.4#电抗器,35,-45.000,37.000,0,西南.石板箐站.35.nd4592,0.000,0.000,1,0,4592,2327,-1,Compensator_P,35
106,石板箐.35kV.5#电抗器,35,-45.000,37.000,0,西南.石板箐站.35.nd4594,0.000,0.000,1,0,4594,2327,-1,Compensator_P,35
107,石板箐.35kV.6#电抗器,35,-45.000,37.000,0,西南.石板箐站.35.nd4596,0.000,0.000,1,0,4596,2327,-1,Compensator_P,35
108,石棉.500kV.九石一线电抗器,500,-120.000,525.000,四川.九石一线,四川.石棉.500.2469,0.000,-134.149,0,-136.77,18327,2469,0,Compensator_P,525
109,石棉.500kV.九石二线电抗器,500,-120.000,525.000,四川.九石二线,四川.石棉.500.2469,0.000,-134.149,0,-133.81,18330,2469,0,Compensator_P,525
110,石棉.35kV.1-1#电抗器,35,-45.000,37.000,0,四川.石棉.35.nd4637,0.000,0.000,1,0,4637,2488,-1,Compensator_P,35
111,石棉.35kV.2-1#电抗器,35,-45.000,37.000,0,四川.石棉.35.nd4639,0.000,0.000,1,0,4639,2489,-1,Compensator_P,35
112,蜀州.500kV.雅蜀一线电抗器,500,-120.000,525.000,四川.雅蜀一线,四川.蜀州.500.2649,0.000,-108.843,0,-105.95,20587,2649,0,Compensator_P,525
113,蜀州.500kV.雅蜀二线电抗器,500,-120.000,525.000,四川.雅蜀二线,四川.蜀州.500.2649,0.000,-108.843,0,-106.32,20588,2649,0,Compensator_P,525
114,谭家湾.35kV.1-1#电抗器,35,-60.000,37.000,0,西南.谭家湾站.35.2859,0.000,0.000,1,0,4876,2859,0,Compensator_P,35
115,谭家湾.35kV.1-2#电抗器,35,-60.000,37.000,0,西南.谭家湾站.35.2859,0.000,0.000,1,0,4878,2859,0,Compensator_P,35
116,谭家湾.35kV.1-3#电抗器,35,-60.000,37.000,0,西南.谭家湾站.35.2859,0.000,-58.904,0,-60.00,4880,2859,0,Compensator_P,35
117,谭家湾.35kV.1-2#电容器,35,40.000,37.000,0,西南.谭家湾站.35.2859,0.000,0.000,1,0,4884,2859,0,Compensator_P,35
118,谭家湾.35kV.2-1#电抗器,35,-60.000,37.000,0,西南.谭家湾站.35.2860,0.000,-58.887,0,-59.08,4888,2860,0,Compensator_P,35
119,雅安.500kV.石雅一线电抗器,500,-120.000,525.000,四川.石雅一线,四川.雅安.500.3364,0.000,-109.597,0,-109.29,18587,3364,0,Compensator_P,525
120,雅安.500kV.石雅二线电抗器,500,-120.000,525.000,四川.石雅二线,四川.雅安.500.3364,0.000,-109.597,0,-108.77,18584,3364,0,Compensator_P,525
121,雅安.35kV.2-1#电抗器,35,-60.000,37.000,0,四川.雅安.35.3370,0.000,0.000,1,0,5335,3370,0,Compensator_P,35
122,临巴厂.500kV.巴南线电抗器,500,-74.380,525.000,四川.巴南线,四川.临巴厂.500.1581,0.000,-82.191,0,-84.47,18067,1581,0,Compensator_P,525
123,丹景.35kV.1-1#电抗器,35,-60.000,37.000,0,四川.丹景.35.647,0.000,0.000,1,0,2902,647,0,Compensator_P,35
124,丹景.35kV.1-1#电容器,35,60.000,37.000,0,四川.丹景.35.647,0.000,66.609,0,64.51,2904,647,0,Compensator_P,35
125,丹景.35kV.1-2#电抗器,35,-60.000,37.000,0,四川.丹景.35.647,0.000,0.000,1,0,2906,647,0,Compensator_P,35
126,丹景.35kV.1-2#电容器,35,60.000,37.000,0,四川.丹景.35.647,0.000,66.609,0,64.99,2908,647,0,Compensator_P,35
127,丹景.35kV.1-3#电抗器,35,-60.000,37.000,0,四川.丹景.35.nd50415,0.000,0.000,1,0,50415,654,-1,Compensator_P,35
